ID No.,Start Date,Start Date - Month,Start Date - Day,Start Date - Year,End Date,End Date - Month,End Date - Day,End Date - Year,Exhibition Type,Title,Gallery Site,Gallery Terminal,Gallery Area,Gallery Level,Gallery Name
704,01/01/1981,1,1,1981,03/25/1981,3,25,1981,General,From the Table Top,F02,T3,F,D,F-02 North Connector
682,03/28/1981,3,28,1981,06/01/1981,6,1,1981,General,New Glass,F02,T3,F,D,F-02 North Connector
707,09/15/1981,9,15,1981,01/30/1982,1,30,1982,General,Folk Art from the Mexican Museum,F02,T3,F,D,F-02 North Connector
677,02/14/1982,2,14,1982,05/15/1982,5,15,1982,General,Carousel Animals from Golden Gate Park Carousel,F02,T3,F,D,F-02 North Connector
464,06/21/1982,6,21,1982,08/05/1982,8,5,1982,General,Artist's Furniture: New Dimensions and Statements in Design,F02,T3,F,D,F-02 North Connector
679,08/06/1982,8,6,1982,09/17/1982,9,17,1982,General,Forgotten Dimension,F02,T3,F,D,F-02 North Connector
425,10/09/1982,10,9,1982,12/08/1983,12,8,1983,General,American Porcelain,F02,T3,F,D,F-02 North Connector
465,07/13/1983,7,13,1983,01/01/1984,1,1,1984,General,Navajo Weavings,D01,T2,D,D,D-01 Central North Connector
426,12/12/1983,12,12,1983,03/31/1984,3,31,1984,General,A is for Animal,F02,T3,F,D,F-02 North Connector
718,12/15/1983,12,15,1983,03/15/1984,3,15,1984,General,Mexican Dance Masks,D04,T2,D,D,D-04 Central Gallery
428,03/01/1984,3,1,1984,05/10/1984,5,10,1984,General,Eskimo Dolls,F10,T3,F,D,F-10 Baseball Hall of Fame
681,05/25/1984,5,25,1984,09/30/1984,9,30,1984,General,American Craft Traditions,F02,T3,F,D,F-02 North Connector
726,10/10/1984,10,10,1984,11/25/1984,11,25,1984,General,"Japan: Kimono, Mingei, and Swords",F02,T3,F,D,F-02 North Connector
727,11/30/1984,11,30,1984,03/14/1985,3,14,1985,General,Art and Travel,F02,T3,F,D,F-02 North Connector
728,03/15/1985,3,15,1985,06/17/1985,6,17,1985,General,The Art of the Magician,F02,T3,F,D,F-02 North Connector
729,03/15/1985,3,15,1985,04/30/1985,4,30,1985,General,Historic Magic Posters,F03,T3,F,D,F-03 Gate 76
429,05/29/1985,5,29,1985,12/31/1985,12,31,1985,General,Thomas Albright,E02,T3,E,D,E-02 Gate 62 Cultural Wall
717,06/30/1985,6,30,1985,11/01/1985,11,1,1985,General,Menagerie: Animal Images by Contemporary Artsists,F02,T3,F,D,F-02 North Connector
732,11/19/1985,11,19,1985,01/01/1986,1,1,1986,General,Japanese Art Swords,D01,T2,D,D,D-01 Central North Connector
431,04/15/1986,4,15,1986,07/06/1986,7,6,1986,General,Airport Cafe,F02,T3,F,D,F-02 North Connector
466,08/11/1986,8,11,1986,11/07/1986,11,7,1986,General,Chairs,F02,T3,F,D,F-02 North Connector
477,01/01/1987,1,1,1987,05/12/1987,5,12,1987,General,Japanese Production Design,D01,T2,D,D,D-01 Central North Connector
467,03/09/1987,3,9,1987,09/09/1987,9,9,1987,General,Mexican Folk Art,F02,T3,F,D,F-02 North Connector
480,04/01/1987,4,1,1987,05/21/1987,5,21,1987,General,Houses,A06,IT,A,D,A-06 Gate 08
468,05/01/1987,5,1,1987,06/17/1987,6,17,1987,General,Images of Mexico,F03,T3,F,D,F-03 Gate 76
471,05/01/1987,5,1,1987,09/08/1987,9,8,1987,General,Rudy Arnold Aviation Photography,E02,T3,E,D,E-02 Gate 62 Cultural Wall
472,05/01/1987,5,1,1987,09/08/1987,9,8,1987,General,Vintage Prints of the Pan-Pacific Festival,F06,T3,F,D,F-06 Gate 72
473,05/01/1987,5,1,1987,09/08/1987,9,8,1987,General,The San Francisco Exploratorium,F07,T3,F,D,F-07 Gate 74
474,05/01/1987,5,1,1987,05/30/1987,5,30,1987,General,It's Raining Cats and Dogs,D04,T2,D,D,D-04 Central Gallery
478,05/15/1987,5,15,1987,06/08/1987,6,8,1987,General,Philippine Textiles,D01,T2,D,D,D-01 Central North Connector
475,06/06/1987,6,6,1987,08/28/1987,8,28,1987,General,Mexican and Peruvian Ceramics,D04,T2,D,D,D-04 Central Gallery
479,06/15/1987,6,15,1987,09/01/1987,9,1,1987,General,Imaginary Acquaintances,D01,T2,D,D,D-01 Central North Connector
483,06/18/1987,6,18,1987,07/23/1987,7,23,1987,General,El Pueblo de Los Angelos,F03,T3,F,D,F-03 Gate 76
753,07/01/1987,7,1,1987,12/31/1987,12,31,1987,General,Historic Photographs of the Chinese in the Monterey Bay Region,D03,T2,D,D,D-03 Central Concourse
481,07/06/1987,7,6,1987,08/01/1987,8,1,1987,General,California Scenes,A06,IT,A,D,A-06 Gate 08
469,07/24/1987,7,24,1987,08/20/1987,8,20,1987,General,Bernard Plossu: The African Desert 1975,F03,T3,F,D,F-03 Gate 76
470,08/21/1987,8,21,1987,09/23/1987,9,23,1987,General,Photographs About Feet,F03,T3,F,D,F-03 Gate 76
476,09/01/1987,9,1,1987,10/15/1987,10,15,1987,General,Contemporary British Ceramics,D10,T2,D,D,D-10 Central Cases (Currency Exchange)
486,09/01/1987,9,1,1987,01/15/1988,1,15,1988,General,Vintage Prints of the Panama-Pacific International Exposition,F08,T3,F,D,F-08 Gate 81
491,09/01/1987,9,1,1987,10/15/1987,10,15,1987,General,Historic Cable Cars,D11,T2,D,D,D-11 Central Wall (Duty Free)
492,09/01/1987,9,1,1987,09/24/1987,9,24,1987,General,Bay Area Fashion Accessories,A06,IT,A,D,A-06 Gate 08
489,09/09/1987,9,9,1987,11/01/1987,11,1,1987,General,Bay Area Fashion Designs,D01,T2,D,D,D-01 Central North Connector
484,09/24/1987,9,24,1987,11/04/1987,11,4,1987,General,Photographs of Italy,F03,T3,F,D,F-03 Gate 76
493,09/25/1987,9,25,1987,11/16/1987,11,16,1987,General,Bay Area Craft Forms,A06,IT,A,D,A-06 Gate 08
482,10/05/1987,10,5,1987,01/15/1988,1,15,1988,General,The Right Foot Show,F02,T3,F,D,F-02 North Connector
487,10/16/1987,10,16,1987,11/27/1987,11,27,1987,General,"Ceramics from Faenza, Italy",D10,T2,D,D,D-10 Central Cases (Currency Exchange)
485,11/05/1987,11,5,1987,01/15/1988,1,15,1988,General,Photographs of Feet,F03,T3,F,D,F-03 Gate 76
490,11/06/1987,11,6,1987,01/08/1988,1,8,1988,General,Trees of Life,D01,T2,D,D,D-01 Central North Connector
