Título,Tematica,Provincia,Fecha de publicación,Descripción,ProvinciaAlternativa,FuenteContenido,LocalidadAsset,DocumentosAsociados,Identificador,ultimaActualizacion,Enlace al contenido,
"INSTALADORES ELECTRICISTAS, EN GENERAL","Empleo","Zamora","20161021","<p>OFICIAL 1ª-3ª INSTALADOR ELECTRICISTA DE BAJA TENSIÓN, EXPERIENCIA: 12 MESES
FUNCIONES:
INSTALACIONES DE ELECTRICIDAD
CANALIZACIONES EMPOTRADAS Y EN SUPERFICIE
TENDIDO LÍNEAS Y PUNTOS DE ALIMENTACIÓN
INSTALACIÓN Y CONEXIONADO DE MECANISMOS Y LUMINARIAS
PRL NIVEL BÁSICO SECTOR METAL 60 H Y SEGUNDO CICLO PUESTO DE TRABAJO ELECTRICISTA 6H</p><p>Para más información acuda a <a href=""http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=185764"">Oficina Virtual</a></p>",,"ECYL",,,1284661289439,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661289439/Empleo",
"1 plaza de Profesor/a de Informática para adultos en el Ayto. de Valle de Mena (Burgos)","Empleo","Burgos","20161021","<p>Convoca: Ayuntamiento de Valle de Mena<br />Cuerpo: PROFESOR/A DE INFORMÁTICA PARA ADULTOS<br />Plazas: 1 ( Personal laboral temporal)<br />Acceso: Concurso<br />Titulación: Bachiller o equivalente.<br />Plazo: 9 de noviembre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Burgos 20/10/2016</p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://servicios3.jcyl.es/enbo/siau/contenido/Ymw1eGw5dkF3TGI2ci9TbG9aVC9JZk9qK3lxcml6WER1eHUyUzZZVk1Vcz0%3D"" target=""_blank"">Consultar Bases</a></li></ul></p>",,"Organismo oficial",,,1284661197276,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661197276/Empleo",
"Interinidad de Secretaría- Intervención en el Ayto. de Pradoluengo (Burgos)","Empleo","Burgos","20161021","<p>Convoca: Ayuntamiento de Pradoluengo<br />Cuerpo: SECRETARÍA-INTERVENCIÓN<br />Plazas: 1 ( Interina)<br />Acceso: Concurso de Méritos<br />Titulación. Licenciatura en Derecho, Ciencias Políticas y de la Administración, Sociología, Administración y Dirección de Empresas, Economía, Ciencias Actuariales y Financieras<br />Plazo: 27 de octubre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Burgos 20/10/2016</p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://servicios3.jcyl.es/enbo/siau/contenido/VWxNNVhXTzJDRFlEcDF1cHprQm0yekttc2tiNHRZdjk3VGwxdENwS2xhTT0%3D"" target=""_blank"">Consultar Bases </a></li></ul></p>",,"Organismo oficial",,,1284661165896,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661165896/Empleo",
"Monitor natación","Empleo","Burgos","20161021","<p>Se precisa <strong>monitor de natación</strong> con título de socorrista.<br />
<strong>Currículum a monitoresburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661125313,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661125313/Empleo",
"Camarera y cocinera","Empleo","Burgos","20161021","Precisamos <strong>camarera y cocinera</strong>.<br />
Interesados enviar currículum a<strong> tribunomesala@msn.com</strong>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661124038,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661124038/Empleo",
"Camarero","Empleo","Burgos","20161021","<p>Se precisa <strong>camarero </strong>con experiencia para restaurante céntrico.<br />
Teléfono de contacto: <strong>947257474</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661123045,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661123045/Empleo",
"CARPINTEROS DE ALUMINIO, METÁLICO Y PVC","Empleo","Burgos","20161021","<p>Descripción del puesto.
Fabricación de carpintería metálica de puertas, ventanas, etc... en aluminio.</p><p>Para más información acuda a <a href=""http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=185756"">Oficina Virtual</a></p>",,"ECYL",,,1284661122984,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661122984/Empleo",
"Camarera","Empleo","Burgos","20161021","<p>Urge <strong>camarera</strong>. No necesaria experiencia. Presentar currículum experiencia.<br />
<strong>Presentar currículum en C/ María Moliner, 2- Bajo.</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661116429,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661116429/Empleo",
"Conductor","Empleo","Burgos","20161021","<p>Empresa forestal necesita <strong>conductor de Skidder</strong> Forestal.<br />
<strong>Teléfono : 620.852.495 (Miguel).</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661107804,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661107804/Empleo",
"Camarera","Empleo","Burgos","20161021","<p>Se necesita <strong>camarera </strong>en Café Trastero. C/ Santiago, 2.<br />
<strong>Enviar currículum a hosteleriatorresoto@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284661103637,20161021,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284661103637/Empleo",
