Fichero actualizado a fecha: 2016-11-06 02:18:16
Nombre del Organismo,Descripción,DatosPersonales,Dirección,Calle,CodigoPostal,Localidad,Localidad,SoloClasificar,Teléfono,Telefax oficial,Fax,e-mail,Páginas de internet,Posicion,Información adicional,Directorio Superior,Identificador Directorio Superior,Identificador,ultimaActualizacion,Enlace al contenido,
"Agencia de Innovación, Financiación e Internacionalización Empresarial (ADE)",,,,"C/ Jacinto Benavente, 2","47195","Arroyo de la Encomienda","1179469235248",,,"983 411 010",,"info.ade@jcyl.es","http://www.ade.jcyl.es/","41.61338889474735#-4.799737930297852#82",,"Consejería de Economía y Hacienda","1284181154962",1142233486201,20160930,"http://www.empresas.jcyl.es/web/jcyl/Empresas/es/Plantilla100Detalle/1255644717729/_/1142233486201/DirectorioPadre",
"Ágreda",,,"C/ Palacio,1 C.P. 42100 Ágreda (Soria)",,,,,,"976 647 131",,,,,,,"Servicios Farmacéuticos Oficiales","1204554928841",1204554933817,20081107,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1204554933817/DirectorioPadre",
"Ágreda",,,"C/ Venerable, 34 C.P. 42100 Ágreda (Soria)",,,,,,"976 647 119",,"976 646 774",,,,,"Secciones Agrarias Comarcales de la provincia de Soria","1142233555870",1142233555921,20081106,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233555921/DirectorioPadre",
"Ágreda",,,"C/ Venerable, 85 C.P. 42100 Ágreda (Soria)",,,,,,"976 647 218",,"976 647225",,,,,"Centros de Salud Rurales de Soria","1142233557463",1142233557516,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233557516/DirectorioPadre",
"Aguilafuente",,,"C/ Hospital, 6 C.P. 40340 Aguilafuente (Segovia)",,,,,,"921 572 065",,,,,,,"Centros de Guardia de Segovia","1142233550589",1142233550614,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233550614/DirectorioPadre",
"Aguilar de Campoo",,,"Pza. Marmolejo, 13 C.P. 34800 Aguilar de Campoo (Palencia)",,,,,,"979 125 776",,"979 123 863",,,,,"Centros de Atención a Personas Mayores","1142233532297",1142233532426,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233532426/DirectorioPadre",
"Aguilar de Campoo",,,"Avda. Ciudad Deportiva, 5 C.P. 34800 Aguilar de Campoo (Palencia)",,,,,,"979 122 088",,"979 125 890",,,,,"Centros de Salud Rurales de Palencia","1142233531615",1142233531641,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233531641/DirectorioPadre",
"Aguilar de Campoo",,,"Avda. de Cervera C.P. 34800 Aguilar de Campoo (Palencia)",,,,,"Si","979 122 209",,,,,,,"Parques de Maquinaria","1204553430908",1204553431336,20080902,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1204553431336/DirectorioPadre",
"Alaejos",,,"Pza. Santa María, 1 C.P. 47510 Alaejos (Valladolid)",,,,,,"983 817 430",,"983 817 438",,,,,"Centros de Salud Rurales de Valladolid","1142233564499",1142233564525,20081128,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233564525/DirectorioPadre",
"Alamedilla",,,"Avda. Comuneros, 27-31 C.P. 37554 Alamedilla (Salamanca)",,,,,,"923 126 591",,"923 123 644",,,,,"Centros de Salud Urbanos de Salamanca","1142233539752",1142233539778,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233539778/DirectorioPadre",
"Alba de Tormes",,,"C/ Corrales de la Dehesa, s/n C.P. 37800 Alba de Tormes (Salamanca)",,,,,,"923 300 642",,"923 300 526",,,,,"Centros de Salud Rurales de Salamanca","1142233540155",1142233540181,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233540181/DirectorioPadre",
"Albergue Juvenil ""Arbejal""",,,"Ctra. Arbejal, s/n C.P. 34840 Cervera de Pisuerga (Palencia)",,,,,,"979 870 174",,"979 870 174",,,,,"Sección de Juventud de Palencia","1207034448436",1142233533632,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233533632/DirectorioPadre",
"Albergue Juvenil Castilla",,,"C/ Los Chalets, 1 C.P. 34004 Palencia (Palencia)",,,,,,"979 712 533",,"979 712 567",,,,,"Complejo Juvenil Castilla","1218522147382",1142233533507,20080825,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233533507/DirectorioPadre",
"Albergue Juvenil de Espinosa de los Monteros",,,,"Ctra. de Baranda s/n","09560","Espinosa de los Monteros","1182753755452",,"947 120 449",,,,,"43.07461691690257#-3.544072330041672#76",,"Sección de Juventud de Burgos","1204012063691",1142233511283,20160315,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233511283/DirectorioPadre",
"Albergue Juvenil de Soncillo",,,"Avda. Alejandro Rodríguez de Valcárcel, s/n C.P. 09572 Soncillo (Burgos)",,,,,,"947 153 024",,"947 153 024",,,,,"Sección de Juventud de Burgos","1204012063691",1142233511336,20081125,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233511336/DirectorioPadre",
"Albergue Juvenil de Valdeavellano",,,"C/ Soledad. C.P. 42165 Valdeavellano de Tera (Soria)",,,,,,"975 273 042",,,,,,,"Anexos del Museo Numantino","1142233559023",1142233559285,20081107,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233559285/DirectorioPadre",
"Albergue Juvenil ""Fernán González""",,,"C/ Anduva, 82 C.P. 09200 Miranda de Ebro (Burgos)",,,,,,"947 320 932",,"947 320 334",,,,,"Sección de Juventud de Burgos","1204012063691",1142233511310,20081125,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233511310/DirectorioPadre",
"Albergue Juvenil ""San Martín de Castañeda""",,,"Ctra. Lago, s/n C.P. 49361 San Martín de Castañeda (Zamora)",,,,,,"980 622 053",,"980 622 018",,,,,"Sección de Juventud de Zamora","1207834071078",1142233579392,20081201,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233579392/DirectorioPadre",
"Albergue Juvenil ""San Rafael""",,,"Pseo. de San Juan, 12 C.P. 40410 San Rafael (Segovia)",,,,,,"921 171 457",,,,,,,"Sección de Juventud de Segovia","1206454288312",1142233552059,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233552059/DirectorioPadre",
"Albergue Juvenil ""Villamanín""",,,"Pza. del Ayuntamiento, s/n C.P. 24680 Villamanín (León)",,,,,,"987 598 243",,,,,,,"Sección de Juventud de León","1207036688316",1142233522564,20110817,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233522564/DirectorioPadre",
"Albergue Navarredonda de Gredos",,,"Ctra. C-500, Km. 41,5 C.P. 05635 Navarredonda de Gredos (Ávila)",,,,,,"920 348 005",,"920 348 005",,,,,"Sección de Juventud de Ávila","1205750851975",1142233500348,20081124,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233500348/DirectorioPadre",
"Alcañices",,,"Ctra. Rabanales, s/n C.P. 49500 Alcañices (Zamora)",,,,,,"980 680 033",,,,,,,"Secciones Agrarias Comarcales","1142233575923",1142233575974,20081113,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233575974/DirectorioPadre",
"Aldeadávila",,,"C/ Las Eras, s/n C.P. 37493 Aldeávila (Salamanca)",,,,,,"923 505 161",,"923 505 423",,,,,"Centros de Salud Rurales de Salamanca","1142233540155",1142233540235,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233540235/DirectorioPadre",
"Aliste",,,"C/ Alto Atalaya, s/n C.P. 49500 Alcañices (Zamora)",,,,,,"980 680 418",,"980 680 418",,,,,"Centros de Salud Rurales de Zamora","1142233577627",1142233577734,20081128,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233577734/DirectorioPadre",
"Almazán",,,"Crtra Madrid, s/n C.P. 42200 Almazán (Soria)",,,,,,"975 318 029",,,,,,,"Servicios Farmacéuticos Oficiales","1204554928841",1204554934061,20081107,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1204554934061/DirectorioPadre",
"Almazán",,,"Pza. de la Concordia, s/n C.P. 42200 Almazán (Soria)",,,,,,"975 300 157",,"975 301 445",,,,,"Secciones Agrarias Comarcales de la provincia de Soria","1142233555870",1142233555947,20081106,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233555947/DirectorioPadre",
"Almazán",,,"C/ Burgo de Osma, s/n C.P. 42200 Almazán (Soria)",,,,,,"975 300 317",,,,,,,"Parques de Maquinaria","1142233555493",1142233555544,20081107,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233555544/DirectorioPadre",
"Almazán",,,"C/ Diego Laínez, 14 C.P. 42200 Almazán (Soria)",,,,,,"975 310 137",,"975 310 169",,,,,"Centros de Día para Personas Mayores","1142233558189",1142233558292,20081128,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233558292/DirectorioPadre",
"Almazán",,,"C/ El Ferial, s/n C.P. 42200 Almazán (Soria)",,,,,,"975 300 961",,"975 301 729",,,,,"Centros de Salud Rurales de Soria","1142233557463",1142233557543,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233557543/DirectorioPadre",
"Alta Sanabria",,,"C/ Souto da Feira, s/n C.P. 49300 Puebla de Sanabria (Zamora)",,,,,,"980 624 028",,"980 624 007",,,,,"Centros de Salud Rurales de Zamora","1142233577627",1142233577707,20081128,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233577707/DirectorioPadre",
"Anexo a Centro Residencial",,,"Avda. Ponce de León, s/n C.P. 34005 Palencia (Palencia)",,,,,,"979 722 550",,"979 710 086",,,,,"Centros de Atención a Personas Mayores","1142233532297",1142233532374,20081126,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233532374/DirectorioPadre",
"Anexo a Residencia ""Tres árboles""",,,"Avda. Obispo Acuña, 4 C.P. 49004 Zamora (Zamora)",,,,,,"980 522 904",,,,,,,"Centros de Día para Personas Mayores","1142233578389",1142233578414,20081201,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233578414/DirectorioPadre",
"Anexo Residencia Mixta",,,"Ctra. de Valladolid, 10 C.P. 40003 Segovia (Segovia)",,,,,,"921 436 061",,,,,,,"Centros de Atención a Personas Mayores","1142233550973",1142233551076,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233551076/DirectorioPadre",
"Anexo Monumental del Museo de León",,,"Plaza de San Marcos s/n. C.P. 24001 León",,,,,,"987 245 061 (sede del museo: 987 236 405)",,"987 221 602","museo.leon@jcyl.es",,,,"Museo Provincial de León","1142233522514",1273562712241,20100512,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1273562712241/DirectorioPadre",
"Anexos del Museo Numantino",,,,,,,,,,,,,,,,"Servicio Territorial de Cultura de Soria","1142233558899",1142233559023,20081107,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233559023/DirectorioPadre",
"Aranda de Duero",,,,"Plaza Resinera, nº 1-2","09400","Aranda de Duero","1179297429124",,"947 500 575",,"947 507 327",,,"41.67134908388402#-3.6902421712875366#112",,"Secciones Agrarias Comarcales","1142233505101",1142233505152,20120202,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233505152/DirectorioPadre",
"Aranda Norte",,,"C/ Santiago, 7 C.P. 09400 Aranda de Duero (Burgos)",,,,,,"947 510 651",,"947 503 032",,,,,"Centros de Salud Semiurbanos de Burgos","1142233507916",1142233507942,20081124,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233507942/DirectorioPadre",
"Aranda Rural",,,"C/ Burgo de Osma, 53 C.P. 09400 Aranda de Duero (Burgos)",,,,,,"947 511 452",,"947 503 308",,,,,"Centros de Salud Rurales de Burgos","1142233508050",1142233508103,20081124,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233508103/DirectorioPadre",
"Aranda Sur",,,"C/ Burgo de Osma, 53. C.P. 09400 Aranda de Duero (Burgos)",,,,,,"947 511 454",,"947 503 308",,,,,"Centros de Salud Semiurbanos de Burgos","1142233507916",1142233507969,20081124,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233507969/DirectorioPadre",
"Archivo General de Castilla y León","Horario: Mañanas de L-V de 9.00 a 14.00 horas.",,"Palacio del Licenciado Butrón. Pza. de Santa Brígida, s/n. CP 47003 Valladolid",,,,,,"983 411 846, 983 412 918",,"983 412 919","archivo.general@jcyl.es",,,,"Servicio de Archivos y Bibliotecas","1142233495492",1207834082405,20100706,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1207834082405/DirectorioPadre",
"Archivo Histórico Provincial de Ávila",,,,,,,,,"920 221 690",,"920 352 161","archivo.avila@jcyl.es",,,,"Servicio Territorial de Cultura de Ávila","1142233500199",1142233500223,20150408,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233500223/DirectorioPadre",
"Archivo Histórico Provincial de Burgos",,,"C/ Antonio de Cabezón, 8 C.P. 09004 Burgos",,,,,,"947 255 623",,"947 265 729","archivo.burgos@jcyl.es",,,,"Servicio Territorial de Cultura de Burgos","1142233511099",1142233511125,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233511125/DirectorioPadre",
"Archivo Histórico Provincial de León",,,"Pza. Puerta Castillo, s/n C.P. 24003 León",,,,,,"987 244 010",,"987 235 450","archivo.leon@jcyl.es",,,,"Servicio Territorial de Cultura de León","1142233522440",1142233522464,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233522464/DirectorioPadre",
"Archivo Histórico Provincial de Palencia",,,"C/ Niños del Coro, 4. C.P. 34005 Palencia",,,,,,"979 746 533, 979 746 578",,"979 701 422","archivo.palencia@jcyl.es",,,,"Servicio Territorial de Cultura de Palencia","1142233533383",1142233533407,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233533407/DirectorioPadre",
"Archivo Histórico Provincial de Salamanca",,,"C/ Las Mazas, s/n C.P. 37071 Salamanca",,,,,,"923 214 743, 923 218 755",,"923 210 226","archivo.salamanca@jcyl.es",,,,"Servicio Territorial de Cultura de Salamanca","1142233541771",1142233541795,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233541795/DirectorioPadre",
"Archivo Histórico Provincial de Segovia",,,"C/ Capuchinos Alta, 7 C.P. 40001 Segovia",,,,,,"921 461 042",,"921 460 086","archivo.segovia@jcyl.es",,,,"Servicio Territorial de Cultura de Segovia","1142233551810",1206454370606,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1206454370606/DirectorioPadre",
"Archivo Histórico Provincial de Soria",,,"Pza. San Clemente, 8 C.P. 42002 Soria",,,,,,"975 226 522",,"975 229 500","archivo.soria@jcyl.es",,,,"Servicio Territorial de Cultura de Soria","1142233558899",1142233558948,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233558948/DirectorioPadre",
"Archivo Histórico Provincial de Valladolid",,,,"Avda. Ramón y Cajal, 1","47005","Valladolid","1179469311668",,"983 255 385",,"983 255 385","archivo.valladolid@jcyl.es",,"41.65402822668345#-4.717297554016113#88",,"Servicio Territorial de Cultura de Valladolid","1142233569909",1142233569933,20131212,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233569933/DirectorioPadre",
"Archivo Histórico Provincial de Zamora",,,,"C/ Rúa de los Francos, 1","49001","Zamora","1179469491795",,"980 532 181",,"980 523 425","archivo.zamora@jcyl.es",,"41.50163#-5.749458#88",,"Servicio Territorial de Cultura de Zamora","1142233579216",1142233579265,20130204,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1142233579265/DirectorioPadre",
"Archivo Territorial de Ávila",,,"Pasaje del Císter, 1. C.P. 05001 Ávila (ÁVILA)",,,,,,"920 355 040",,"920 355 299","at.avila@jcyl.es",,,,"Secretaría Territorial de Ávila","1142233496252",1235463672663,20111122,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463672663/DirectorioPadre",
"Archivo Territorial de Burgos",,,"Plaza de Bilbao nº 3, C.P. 09006 Burgos",,,,,,"947 281 563, 947 282 690",,"947 281 585","at.burgos@jcyl.es",,"42.34620674070139#-3.686985969543457#88",,"Secretaría Territorial de Burgos","1142233504161",1278674831751,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1278674831751/DirectorioPadre",
"Archivo Territorial de Palencia",,,,"Avda. Casado del Alisal, 27","34001",,,,"979 715 727",,,"at.palencia.jcyl.es",,"42.01215#-4.5303483#88",,"Secretaría Territorial de Palencia","1142233529493",1284429003171,20150525,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1284429003171/DirectorioPadre",
"Archivo Territorial de León",,,"Avda. de Peregrinos, s/n. CP 24008 León",,,,,,"987 296 938",,"987 296 494","at.leon@jcyl.es",,,,"Secretaría Territorial de León","1142233516155",1235463674200,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463674200/DirectorioPadre",
"Archivo Territorial de Salamanca",,"Edificio Administrativo de Usos Múltiples (ESAUM)",,"C/ Príncipe de Vergara, 53-71","37003","Salamanca","1179298323669","Si","923 296 000",,"923 296 012","at.salamanca@jcyl.es",,"40.96393987962891#-5.654332637786865#100",,"Secretaría Territorial de Salamanca","1142233537736",1235463675297,20130313,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463675297/DirectorioPadre",
"Archivo Territorial de Segovia",,,"Pza. de los Espejos, 1 C.P. 40001 Segovia",,,,,,"921 417 120",,"921 417 323","at.segovia@jcyl.es",,,,"Secretaría Territorial de Segovia","1142233548293",1235463676650,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463676650/DirectorioPadre",
"Archivo Territorial de Soria",,,,"C/ Linajes, 1","42003","Soria","1179469197687",,"975 236 803",,"975 221 324","at.soria@jcyl.es",,"41.762349184026384#-2.471323013305664#88",,"Secretaría Territorial de Soria","1142233555069",1235463678051,20140307,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463678051/DirectorioPadre",
"Archivo Territorial de Valladolid",,,"Duque de la Victoria, 8. C.P. 47001 Valladolid",,,,,,"983 317 198",,"983 413 039","at.valladolid@jcyl.es",,"41.65008409488229#-4.726910591125488#88",,"Secretaría Territorial de Valladolid","1142233562014",1278674840101,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1278674840101/DirectorioPadre",
"Archivo Territorial de Zamora",,,"C/ Villalpando, 7. CP 49005 Zamora",,,,,,"980 517 674",,"980 519 699","at.zamora@jcyl.es",,,,"Secretaría Territorial de Zamora","1142233575347",1235463678951,20100713,"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1235463678951/DirectorioPadre",
"Arcos de Jalón",,,"Ctra. Maranchón, s/n C.P. 42250 Arcos de Jalón (Soria)",,,,,,"975 320 311",,"975 328 003",,,,,"Centros de Salud Rurales de Soria","1142233557463",1142233557570,20081127,"http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Detalle/1246890364336/_/1142233557570/DirectorioPadre",
