Título,Clasificador,Tipo,Tematica,Organismo gestor,NumeroPlazas,Ingreso libre (acceso general),Minusvalía,Promoción interna (acceso general),Tasas,NumeroCuentaCorriente,Devolución/Exención Tasas,Solicitud,LugarDePresentacion,Municipio,Plazo de presentación,Fecha de inicio,FechaFinalizacion,Requisitos necesarios,PROCEDIMIENTO DE SELECCIÓN,DerivaBolsa,Información adicional,Identificador,ultimaActualizacion,Enlace al contenido,
"Educador Discapacitados","Convocatorias / Anterior 2016 / 2008 / Personal Laboral , Personal Funcionario y Laboral / Anterior a 2016 / 2008 / Personal Laboral ","Convocatoria","Empleado público","Consejería de Familia e Igualdad de Oportunidades","2","2",,,,,,,,,"Veinte días naturales desde el día siguiente a la publicación en el BOCyL","20090128","20090216",,,,,1284398864240,20150527,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284398864240/Empleo",
"COCINERO (D.T. Ávila Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de Ávila , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110708","20110714","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en Ávila, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182280091,20120320,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182280091/Empleo",
"ENFERMERO (D.T. Ávila Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de Ávila , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110708","20110714","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en Ávila, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182304588,20110826,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182304588/Empleo",
"FISIOTERAPEUTA (D.T. Ávila Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de Ávila , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110708","20110714","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en Ávila, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182339309,20120320,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182339309/Empleo",
"TITULADO de GRADO MEDIO (D.T. Ávila Bolsa Supletoria)","Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2012 / Delegación Territorial de Ávila , Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2012 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,"No hay tasas",,,"Solicitud de participación en el Modelo normalizado dirigida a la Delegación Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III. Para facilitar la cumplimentación de la solicitud se podrá utilizar el formulario Vía Web.","<p><strong>Presencial:</strong></p>
<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>
<p><strong>Electrónico:</strong></p>
<ul>
<li>Por <strong>Internet</strong> desde esta misma página. <a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100/1284386354238/_/_/_' title='' >Tramitación electrónica: ver requisitos técnicos.</a></li>
</ul>
<p> </p>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20120302","20120308","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
? Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
? Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el <em>Delegado Territorial de la Junta de CyL en Ávila, </em>dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realización, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará igualmente en el BOCyL.</li>
</ul>",1284210849244,20120503,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284210849244/Empleo",
"MÉDICO GENERAL (D.T. Ávila Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de Ávila , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110708","20110714","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en Ávila, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182344341,20120110,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182344341/Empleo",
"OFICIAL de 2ª OFICIOS (D.T. Ávila Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de Ávila , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de Ávila ","Bolsa de Empleo","Empleado público","Delegación Territorial de Ávila",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en Ávila, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110708","20110714","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de Ávila.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en Ávila, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182349461,20120110,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182349461/Empleo",
"COCINERO (D.T. León Bolsa Supletoria)","Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de León , Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de León ","Bolsa de Empleo","Empleado público","Delegación Territorial de León",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en León, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110712","20110718","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de León.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en León, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182694542,20111123,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182694542/Empleo",
"TITULADO de GRADO MEDIO (D.T. León Bolsa Supletoria)","Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2012 / Delegación Territorial de León , Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2012 / Delegación Territorial de León ","Bolsa de Empleo","Empleado público","Delegación Territorial de León",,,,,"No hay tasas",,,"Solicitud de participación en el Modelo normalizado dirigida a la Delegación Territorial de la Junta de Castilla y León en León, que se cumplimentará siguiendo las Instrucciones del Anexo III. Para facilitar la cumplimentación de la solicitud se podrá utilizar el formulario Vía Web.","<p><strong>Presencial:</strong></p>
<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>
<p><strong>Electrónico:</strong></p>
<ul>
<li>Por <strong>Internet</strong> desde esta misma página. <a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100/1284386354238/_/_/_' title='' >Tramitación electrónica: ver requisitos técnicos.</a></li>
</ul>
<p> </p>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20120302","20120308","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
? Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
? Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de León.",,"<ul>
<li>Terminado el plazo de presentación de instancias el <em>Delegado Territorial de la Junta de CyL en León, </em>dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realización, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará igualmente en el BOCyL.</li>
</ul>",1284210947731,20120413,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284210947731/Empleo",
"TÉCNICO SUPERIOR en EDUCACIÓN INFANTIL (D.T. León Bolsa Supletoria)","Bolsas de Empleo / Bolsas SUPLETORIAS de Personal LABORAL Temporal / 2011 / Delegación Territorial de León , Empleo Temporal / Bolsas de Empleo / Bolsas de empleo supletorias de personal laboral / 2011 / Delegación Territorial de León ","Bolsa de Empleo","Empleado público","Delegación Territorial de León",,,,,,,,"Solicitud de participación en el Modelo normalizado del Anexo II dirigida al Ilmo. Delegado Territorial de la Junta de Castilla y León en León, que se cumplimentará siguiendo las Instrucciones del Anexo III.","<ul>
<li><a href='http://www.jcyl.es/web/jcyl/Portada/es/Plantilla100Directorio/1248366924958/1279887997704/1144425291523/DirectorioPadre' title='' >Oficinas de Información y Registro de la Junta de Castilla y León.</a></li>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/_/1253613443740/Texto' title='' >En cualquiera de los lugares establecidos en el artículo 16.4 de la Ley 39/2015 (LPACAP).</a></li>
</ul>",,"7 DÍAS NATURALES contados a partir del día siguiente al de la publicación en el BOCyL.","20110712","20110718","Los aspirantes deberán reunir los siguientes requisitos:","El orden de prelación vendrá determinado por la calificación obtenida en la PRUEBA de carácter NO eliminatorio que se convoque al efecto. La no presentación a la prueba que se convoque supone la exclusión definitivade la Bolsa de Empleo que se constituya.<br/><br/>
La prueba consistirá en contestar a un cuestionario dirigido a apreciar la aptitud de los aspirantes para el desempeño de las funciones propias de la categoría correspondiente. El cuestionario estará integrado por 30 preguntas con respuestas múltiples que deberán respetar las siguientes reglas:<br/><br/>
?Las preguntas contarán con 4 respuestas alternativas de las que sólo una de ellas será correcta.<br/><br/>
?Las contestaciones erróneas se penalizarán con un tercio del valor de la respuesta correcta. No tendrán la consideración de erróneas las preguntas no contestadas.<br/><br/>
El contenido de la prueba versará sobre materias relacionadas con las funciones de la categoría y con el temario establecido en el Anexo IV.
La duración del ejercicio será de 30 minutos.
La prueba se realizará en la localidad de León.",,"<ul>
<li>Terminado el plazo de presentación de instancias el Delegado Territorial de la Junta de CyL en León, dictará resolución aprobando las <strong>LISTAS de ADMITIDOS y EXCLUIDOS</strong> e indicando el lugar, día y hora de realziación, con al menos 3 DIAS NATURALES de antelación a su comienzo. La resolución se publicará en el BOCyL. Los aspirantes excluidos podrán subsanar la causa de exclusión, pudiéndose examinar condicionadamente.</li>
<li>La <strong>RELACIÓN DE ASPIRANTES </strong>que integran la <strong>Bolsa,</strong> por orden de prelación, se harán públicas en el Servicio Telefónico 012, en la página Web y en las Oficinas y Puntos de Información y A.C. Dicha relación se publicará en el BOCyL.</li>
</ul>",1284182701029,20111123,"http://www.empleopublico.jcyl.es/web/jcyl/EmpleoPublico/es/Plantilla100Detalle/1246947697738/_/1284182701029/Empleo",
