nid,Passenger Service Name,Description,Location Summary,Phone,Hours,Terminal,Security,Image,Map,Category,URL,Tags
3404,Animal Relief Areas,Fenced outdoor areas with water bowls and mutt mitt dispensers. Animal relief areas are accessible for the disabled. Look for painted paw-prints on the Arrivals Level curbside.,"Terminal 1, Courtyard 1, Arrivals/Baggage Claim Level",,"Daily, 24 hours",Terminal 1,Pre-Security,http://media.flysfo.com/AnimalRelief_850x677.jpg,http://media.flysfo.com/animal-relief-area_1.gif,Animal Relief Areas,http://www.flysfo.com/content/animal-relief-areas,
3404,Animal Relief Areas,Fenced outdoor areas with water bowls and mutt mitt dispensers. Animal relief areas are accessible for the disabled. Look for painted paw-prints on the Arrivals Level curbside.,"Terminal 2, Courtyard 3, Arrivals/Baggage Claim Level",,"Daily, 24 hours",Terminal 1,Pre-Security,http://media.flysfo.com/AnimalRelief_850x677.jpg,http://media.flysfo.com/animal-relief-area_1.gif,Animal Relief Areas,http://www.flysfo.com/content/animal-relief-areas,
3404,Animal Relief Areas,Fenced outdoor areas with water bowls and mutt mitt dispensers. Animal relief areas are accessible for the disabled. Look for painted paw-prints on the Arrivals Level curbside.,"Terminal 3, Courtyard 4, Arrivals/Baggage Claim Level",,"Daily, 24 hours",Terminal 1,Pre-Security,http://media.flysfo.com/AnimalRelief_850x677.jpg,http://media.flysfo.com/animal-relief-area_1.gif,Animal Relief Areas,http://www.flysfo.com/content/animal-relief-areas,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Bank of America, Departures Level near the Food Court by Boarding Area A",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Bank of America, Boarding Area A near Gate A2",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Bank of America, Departures Level near the Food Court by Boarding Area G",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Bank of America, Departures Level near Boarding Area G and the BART Station",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Bank of America, Boarding Area G near Gate G92",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Travelex Foreign Currency, Departures Level near the Food Court by Boarding Area A",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Travelex Foreign Currency, Boarding Area A near Gate A10",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Travelex Foreign Currency, Departures Level near the Food Court by Boarding Area G",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
4306,"Automated Teller Machines (ATMs), International Terminal",,"Travelex Foreign Currency, Boarding Area G near Gate G91",,"Daily, 24 hours",International Terminal,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677_2.jpg,http://media.flysfo.com/atms_1.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-international-terminal,
19092,"Automated Teller Machines (ATMs), Rental Car Center",,"Wells Fargo, Level 4",,"Daily, 24 hours",Rental Car Center,Pre-Security,http://media.flysfo.com/ATM_850x677_3.jpg,,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-rental-car-center,
3406,"Automated Teller Machines (ATMs), Terminal 1",,"JPMorgan Chase, Boarding Area B near the nursery",,"Daily, 24 hours",Terminal 1,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677.jpg,http://media.flysfo.com/atms_4.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-terminal-1,
3406,"Automated Teller Machines (ATMs), Terminal 1",,"JPMorgan Chase, Boarding Area C near Gate 43",,"Daily, 24 hours",Terminal 1,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677.jpg,http://media.flysfo.com/atms_4.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-terminal-1,
3406,"Automated Teller Machines (ATMs), Terminal 1",,"Wells Fargo, Boarding Area B, Arrivals Level",,"Daily, 24 hours",Terminal 1,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677.jpg,http://media.flysfo.com/atms_4.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-terminal-1,
3406,"Automated Teller Machines (ATMs), Terminal 1",,"Wells Fargo, Boarding Area B, pre-security",,"Daily, 24 hours",Terminal 1,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677.jpg,http://media.flysfo.com/atms_4.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-terminal-1,
3406,"Automated Teller Machines (ATMs), Terminal 1",,"Wells Fargo, Boarding Area B near Gate 24",,"Daily, 24 hours",Terminal 1,Pre- and Post-Security,http://media.flysfo.com/ATM_850x677.jpg,http://media.flysfo.com/atms_4.gif,Automated Teller Machines,http://www.flysfo.com/content/automated-teller-machines-atms-terminal-1,
