Dataset Name,2015,,,,,,,,,,,,2016,,,Total
,January,February,March,April,May ,June,July,August,September,October,November,December,January,February,March,
2013 Election Results by Station,139,30,46,247,70,112,115,91,95,84,57,152,155,215,194,1802
2013 Election Results Companion Guide,43,22,28,158,59,70,72,84,63,52,37,111,87,88,83,1057
2013 Election Summary Results,49,17,21,171,51,67,76,75,49,50,34,114,96,95,87,1052
311 Call Centre Activity,,,,,,,,,10,130,69,155,158,240,195,957
311 Customer Satisfaction,,,,,,,,,36,49,38,109,99,110,91,532
311 Service Requests by Channel,,,,,,,,,30,79,43,100,124,157,143,676
311 Service Requests Daily Volume,,,,,,,,,45,113,55,120,107,129,103,672
Access Calgary Customer Base,,,,,,,,,39,50,83,151,161,217,184,885
Access Calgary Customer Satisfaction,,,,,,,,59,69,221,39,100,87,85,91,751
Access Calgary On Time Performance,,,,157,66,96,111,90,94,368,72,103,104,84,100,1445
Access Calgary Requests Accommodated,,,,133,51,76,102,79,,72,,,393,,,906
Alberta Township Section Lines,189,112,191,441,222,163,344,199,311,18,103,341,149,283,261,3327
Buildings Regulations Single Construction Permits,,,,,,,,,,,59,124,112,202,183,680
Buildings Regulations Single Construction Permits - 2015,,,,,,,,,,,70,125,202,110,134,641
Business Revitalization Zones,110,81,109,305,140,152,214,213,221,241,78,173,185,228,259,2709
Bylaw Flood Hazard (100 Year),125,84,81,221,99,144,160,147,195,280,73,142,129,158,164,2202
Bylaw Flood Hazard (100 Year) Annotation,71,42,65,229,87,91,164,156,182,168,73,126,165,115,141,1875
Bylaw Flood Hazard (100 Year) Stepline,110,58,120,380,135,126,219,232,335,302,71,166,1220,153,203,3830
Calgary Business Licenses - Open Data Version,283,686,460,388,677,340,311,689,770,573,195,268,189,542,432,6803
Calgary Parcel Addresses,221,109,118,573,115,146,180,163,90,165,94,171,99,244,268,2756
Calgary Seniors Directory,54,32,62,158,87,61,93,85,62,75,37,100,113,103,113,1235
Calgary Transit Real Time Data,,,,,,,,,,,,,,171,215,386
Calgary Transit Schedule and Routes,1245,1282,1447,1552,1335,1341,1632,1563,1439,1533,1308,2504,2599,2500,2827,26107
Census Data by Community District for 1999,83,57,166,455,112,121,290,293,231,220,106,197,198,234,189,2952
Census Data by Community District for 2000,86,40,95,0,0,104,185,244,184,143,49,133,128,145,149,1685
Census Data by Community District for 2001,71,34,52,0,112,126,193,202,209,222,47,137,121,129,148,1803
Census Data by Community District for 2002,69,39,0,298,0,115,177,184,164,188,45,147,117,145,139,1827
Census Data by Community District for 2003,74,30,47,287,120,111,201,184,80,88,46,133,112,130,136,1779
Census Data by Community District for 2004,80,40,0,249,103,119,168,173,137,158,66,127,111,149,144,1824
Census Data by Community District for 2005,74,27,42,0,0,108,181,203,189,121,60,116,106,129,150,1506
Census Data by Community District for 2006,71,28,69,0,114,120,191,200,207,121,49,121,114,133,167,1705
Census Data by Community District for 2007,80,38,51,255,101,116,214,224,206,208,60,118,98,118,149,2036
Census Data by Community District for 2008,83,32,59,278,189,117,194,211,145,66,49,117,112,130,165,1947
Census Data by Community District for 2009,65,22,0,300,104,120,188,185,123,65,56,114,114,134,142,1732
Census Data by Community District for 2010,92,32,41,329,0,104,207,180,136,106,57,136,115,138,321,1994
Census Data by Community District for 2011,131,66,0,344,237,114,230,235,262,333,82,1274,524,167,161,4160
Census Data By Community District for 2012,34,14,0,0,0,88,163,156,66,64,52,105,89,114,113,1058
Census Data By Community District for 2013,73,27,0,0,0,93,162,149,65,62,52,142,99,98,121,1143
Census Data By Community District for 2014,224,122,184,354,180,152,268,204,110,131,104,185,140,186,189,2733
Census Data by Community District for 2015,,,,,,,,,,43,158,204,302,400,446,1553
Census Data by Ward for 1999,74,29,43,240,0,112,200,194,154,115,58,113,108,113,139,1692
Census Data by Ward for 2000,60,28,40,227,0,100,191,182,136,168,59,119,130,100,135,1675
Census Data by Ward for 2001,69,37,0,214,92,87,173,245,151,153,56,113,107,96,139,1732
