"WORK_ORDER_NUMBER","WORK_ORDER_ACTIVITY_DESC","WORK_ORDER_ADDRESS","WORK_ORDER_INITIATED_DATE","WORK_ORDER_COMPLETED_DATE"
219724,"Signals LRT - Trouble Service","    ",01/01/2009 10:05:00,02/15/2013 13:42:00
219652,"Signals LRT - Special Requests and Projects","    ",01/01/2009 10:24:00,01/24/2013 12:01:00
219672,"Signals LRT - ABS / Crossing LITS","    ",01/01/2009 12:48:00,02/15/2013 13:39:00
219719,"Signals LRT - Trouble Service","    ",01/01/2009 09:39:00,02/15/2013 10:27:00
220321,"Replace or Change a Base (WITH value increase/ new asset)","  6 AV SW  ",02/02/2009 09:52:00,01/15/2013 09:41:00
247111,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  37 ST SW  ",08/20/2009 10:40:00,01/15/2013 10:08:00
235729,"Signs Field Ops - Road Marking Non-Recoverable - Used for applying new roadmarking for existing roadway, and summer re-paint program","  SUNRIDGE WY NE  ",05/27/2009 14:20:00,05/06/2013 09:46:00
234933,"Install Traffic Signal Head / Crosswalk or AWF Beacon","  84 ST SE  ",05/21/2009 15:32:00,04/11/2013 14:00:00
220316,"Replace or Change a Base (WITH value increase/ new asset)","  5 AV SW  ",02/02/2009 09:41:00,08/18/2013 18:00:00
217385,"Signals LRT - Signal Room Maintenance","    ",01/01/2009 00:01:00,01/23/2013 14:20:00
217386,"Signals LRT - Crossing Maintenance","    ",01/01/2009 00:01:00,01/23/2013 14:37:00
217387,"Signals LRT - Switch Maintenance","    ",01/01/2009 00:01:00,01/23/2013 15:06:00
217388,"Signals LRT - Overhead","    ",01/01/2009 00:01:00,01/23/2013 15:23:00
217389,"Signals LRT - Shop Repairs","    ",01/01/2009 00:01:00,01/23/2013 15:30:00
217390,"Signals LRT - Special Requests and Projects","    ",01/01/2009 00:01:00,01/24/2013 09:28:00
217391,"Signals LRT - Overhead","    ",01/01/2009 00:01:00,01/24/2013 11:08:00
217392,"Signals LRT - Overhead","    ",01/01/2009 00:01:00,01/24/2013 13:17:00
217393,"Signals LRT - Overhead","    ",01/01/2009 00:01:00,02/15/2013 09:46:00
217394,"Signals LRT - Trouble Service","    ",12/31/2008 00:01:00,02/15/2013 09:53:00
217395,"Signals LRT - Overhead","    ",01/01/2009 00:01:00,02/15/2013 09:59:00
224889,"Signals LRT - ABS / Crossing LITS","    ",03/16/2009 15:29:00,02/15/2013 14:03:00
243489,"Install, replace, modify, or remove a Signal (Base)","  12 AV SW  ",07/23/2009 11:32:00,12/31/2013 00:00:00
118769,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",08/22/2007 09:34:00,01/26/2013 08:50:00
221967,"Investigation, Analysis, Contract Administration and overhead","    ",02/19/2009 09:24:00,01/15/2013 09:43:00
224491,"Replace or Change a Base (WITH value increase/ new asset)","  1 ST SE  ",03/17/2009 07:59:00,01/15/2013 09:43:00
228714,"Signals LRT - Crossing Maintenance","    ",04/13/2009 07:16:00,01/28/2013 08:56:00
234929,"Install, replace, modify, or remove a Signal (Base)","  84 ST SE  ",05/21/2009 15:27:00,04/11/2013 14:00:00
234931,"Install, replace, modify, or remove a Signal (Steel)","  84 ST SE  ",05/21/2009 15:29:00,04/11/2013 14:00:00
234932,"Install Traffic Signal Electrical Device (i.e. cabinet, wiring)","  84 ST SE  ",05/21/2009 15:31:00,04/11/2013 14:00:00
110310,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",03/02/2007 11:51:57,01/26/2013 08:45:00
248477,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  36 ST NE  ",09/03/2009 09:50:00,01/15/2013 10:12:00
244374,"Signals Design - Remove and/or Expire the Asset","  STONEY TR NW  ",07/30/2009 07:55:00,01/15/2013 10:06:00
120469,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",10/03/2007 15:33:06,01/26/2013 08:54:00
112250,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","    ",04/25/2007 10:25:52,01/26/2013 08:46:00
239666,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  SCENIC COVE DR NW  ",06/25/2009 11:02:00,06/20/2013 10:38:00
251147,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  52 ST SE  ",09/23/2009 14:10:00,01/15/2013 10:16:00
253882,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  2 AV NW  ",10/09/2009 15:10:00,01/15/2013 10:20:00
261552,"SL Replace Bulb","1075 7 ST SE  ",11/27/2009 00:00:00,01/15/2013 11:09:00
246168,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  11 ST NE  ",08/14/2009 08:37:00,01/15/2013 10:07:00
260872,"SL Replace Bulb","  17 AV SW  ",11/23/2009 00:00:00,01/15/2013 11:07:00
254780,"Signs Field Ops - Road Marking Non-Recoverable - Used for applying new roadmarking for existing roadway, and summer re-paint program","  17 AV SE  ",10/16/2009 15:48:00,01/15/2013 10:23:00
261825,"SL Replace Bulb","  BARLOW TR SE  ",11/30/2009 00:00:00,01/15/2013 11:11:00
259853,"SL Administrative, Service Charges","  WOODSTOCK RD SW  ",11/18/2009 00:00:00,01/15/2013 11:05:00
252255,"Signs Field Ops - Road Marking Non-Recoverable - Used for applying new roadmarking for existing roadway, and summer re-paint program","1111 GLENMORE TR SW  ",09/29/2009 11:23:00,01/15/2013 10:16:00
261123,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  114 AV SE  ",11/24/2009 15:53:00,01/15/2013 11:08:00
248585,"Replace or Change a Base (WITH value increase/ new asset)","  4 AV SE  ",09/03/2009 15:12:00,01/15/2013 10:12:00
267369,"Signs Manufacture - Custom Signs - any sign made from a flat sheet of aluminum requiring customized work.","    ",01/11/2010 15:24:00,01/15/2013 11:31:00
260869,"SL Replace Bulb","4719 17 AV SW  ",09/03/2009 00:00:00,01/15/2013 10:11:00
259163,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  52 ST SE  ",11/13/2009 10:24:00,01/15/2013 11:04:00
247087,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  52 ST NE  ",08/20/2009 09:45:00,02/07/2013 13:00:00
247104,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  PEIGAN TR SE  ",08/20/2009 10:30:00,01/15/2013 10:09:00
253608,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  16 AV NE  ",10/08/2009 09:00:00,01/15/2013 10:17:00
256443,"SL Patrols","39 TEMPLERIDGE CL NE  ",10/27/2009 00:00:00,01/15/2013 10:25:00
256421,"SL Replace Bulb","23 MARANDA CL NE  ",10/27/2009 08:41:00,01/15/2013 10:28:00
247095,"Replace or Change Traffic Signal Electrical Device (i.e. cabinet, wiring) WITH Value Increase","  CROWCHILD TR NW  ",08/20/2009 10:06:00,12/18/2013 14:00:00
267768,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  40 AV NW  ",01/13/2010 11:04:00,10/10/2013 10:35:00
258215,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  16 AV NE  ",11/06/2009 09:55:00,01/15/2013 10:48:00
183391,"Traffic Assessment - Design, Review and Update (Recoverable)

","  SILVERADO RANCH MR SW  ",11/28/2007 09:52:00,04/03/2013 11:00:00
266762,"Install Traffic Signal Electrical Device (i.e. cabinet, wiring)","  EDMONTON TR NE  ",01/06/2010 13:27:00,01/17/2013 08:19:00
254048,"Investigation, Analysis, Contract Administration and overhead","2340 22 ST NE  ",10/13/2009 10:53:00,01/15/2013 10:20:00
254917,"Signs Field Ops - Road Marking Non-Recoverable - Used for applying new roadmarking for existing roadway, and summer re-paint program"," GLENMORE TR SE  ",10/19/2009 10:33:00,01/15/2013 10:24:00
262206,"Replace or Change a Base (WITH value increase/ new asset)","  2 ST SW  ",12/02/2009 15:26:00,02/27/2013 13:14:00
266962,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  10 ST SW  ",01/07/2010 16:03:00,10/10/2013 10:34:00
258572,"SL Replace Bulb","2501 17 ST SE  ",11/09/2009 00:00:00,01/15/2013 11:03:00
259405,"Loop Maintenance (and/ or installation)","  GLENMORE TR SW  ",11/16/2009 09:54:00,01/15/2013 11:05:00
271558,"SL Replace Bulb","  UNIVERSITY DR NW  ",10/07/2009 00:00:00,01/15/2013 10:17:00
271587,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  96 AV NE  ",02/05/2010 15:21:00,01/16/2013 11:08:00
271878,"Traffic Assessment Design, Review and Update (Non-Recoverable) -   PeopleSoft Activity 225455","  96 AV NE  ",02/08/2010 11:37:00,10/10/2013 10:51:00
272413,"Sign Field Ops - Road Marking Recoverable - W/O from TE where new roadmarking is required, other City BU, and developers for new subdivisions","  64 AV NE  ",02/10/2010 15:13:00,10/10/2013 10:52:00
272066,"Signs Field Ops - Road Marking Non-Recoverable - Used for applying new roadmarking for existing roadway, and summer re-paint program","  SHAGANAPPI TR NW  ",02/09/2010 09:27:00,10/10/2013 10:51:00
272325,"Signs Field Ops - Detours set up / take down Recoverable - W/O from Traffic Engineering and other City BU","    ",02/10/2010 10:42:00,06/13/2013 09:12:00
272326,"Signs Field Ops - Detours set up / take down Recoverable - W/O from Traffic Engineering and other City BU","    ",02/10/2010 10:42:00,06/13/2013 09:13:00
272327,"Signs Field Ops - Detours set up / take down Recoverable - W/O from Traffic Engineering and other City BU","    ",02/10/2010 10:42:00,06/13/2013 09:13:00
