year,quarter,Ridership,Person Crimes,Person Crimes by Ridership,Person Crimes per 1 Million Riders
2010,1,23862036,64,2.68209E-06,2.68
2010,2,23384373,65,2.77963E-06,2.78
2010,3,22222351,65,2.92498E-06,2.92
2010,4,24848870,53,2.13289E-06,2.13
2011,1,23994344,59,2.45891E-06,2.46
2011,2,23354168,69,2.95451E-06,2.95
2011,3,23010134,47,2.04258E-06,2.04
2011,4,25845081,62,2.39891E-06,2.4
2012,1,25031121,52,2.07741E-06,2.08
2012,2,25228226,52,2.06118E-06,2.06
2012,3,24977505,52,2.08187E-06,2.08
2012,4,26734762,63,2.35648E-06,2.36
2013,1,27400210,58,2.11677E-06,2.12
2013,2,26529649,63,2.3747E-06,2.37
2013,3,25643054,53,2.06684E-06,2.07
2013,4,27919782,63,2.25647E-06,2.26
2014,1,27759580,65,2.34153E-06,2.34
2014,2,26985336,66,2.44577E-06,2.45
2014,3,26111798,54,2.06803E-06,2.07
2014,4,29099012,51,1.75264E-06,1.75
2015,1,28361261,50,1.76297E-06,1.76
2015,2,27497200,53,1.92747E-06,1.93
2015,3,27497200,34,1.23649E-06,1.24
2015,4,27934700,44,1.58E-06,1.58
