tradename,busloc,jobstatusdesc,licencetypes,comdistnm
 DON'S TENT & EVENT RENTALS ,#6 115 28 ST SE CALGARY,Renewal Licensed,CONTRACTOR,MERIDIAN                                
 OGEE INTERNATIONAL,4041 7 ST SE CALGARY,Licensed,WHOLESALER,HIGHFIELD                               
 WEST 49 (SUNRIDGE),#117 2525 36 ST NE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,SUNRIDGE                                
#1 CHINESE HAMBURGERS AND SPRING ROLLS,4524B EDMONTON TR NE CALGARY,Licensed,FOOD SERVICE - PREMISES (NO SEATING),GREENVIEW INDUSTRIAL PARK               
#1 CONVENENCE STORE,924 EDMONTON TR NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",RENFREW                                 
#1 CONVENIENCE STORE,#1 10015 OAKFIELD DR SW CALGARY,Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",OAKRIDGE                                
007 AIRSOFT,#I 2020 32 AV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",NORTH AIRWAYS                           
1 2 3 DRIVING SCHOOL,#105 115 2 AV SW CALGARY,Renewal Licensed,SCHOOL (DRIVER EDUCATION),CHINATOWN                               
1 POT,123 3 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CHINATOWN                               
101 PHARMACY,1107 CENTRE ST NW CALGARY,Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CRESCENT HEIGHTS                        
1035 - 7TH AVENUE SW,1035 7 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN WEST END                       
1057090 ALBERTA,1933 42 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
106 TATTOO,#106 535 8 AV SE CALGARY,Licensed,PERSONAL SERVICE (TATTOO),DOWNTOWN EAST VILLAGE                   
1088342 ALBERTA ,620 12 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,BELTLINE                                
10TH & 10TH CAR WASH,1104 10 AV SW CALGARY,Renewal Licensed,"MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES",BELTLINE                                
11245,260 20 AV NE CALGARY,Renewal Invoiced,PERSONAL SERVICE,TUXEDO PARK                             
11-ELEVEN LIQUOR,#1 4100 MARLBOROUGH DR NE CALGARY,Renewal Licensed,"LIQUOR STORE, FOOD SERVICE - PREMISES",MARLBOROUGH                             
1207CC PROPERTY,1207 11 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,BELTLINE                                
1244428 ALBERTA,3608 77 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BOWNESS                                 
12TH AVE LIQUOR BARN,#100 825 12 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE, FOOD SERVICE - PREMISES",BELTLINE                                
1302472 ALBERTA,1702 42 ST SE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),FOREST LAWN                             
1327477 ALBERTA,1202 5 AV NW CALGARY,Expired,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HILLHURST                               
1341780 ALBERTA ,#24 1410 40 AV NE CALGARY,Renewal Licensed,WAREHOUSING,MCCALL                                  
1367535 ALBERTA ,2020 34 AV SW CALGARY,Licensed,CONTRACTOR,SOUTH CALGARY                           
1410 WORLD BIER HAUS,1410 17 AV SW CALGARY,Renewal Invoiced,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
1421719 ALBERTA,1055 MCTAVISH RD NE CALGARY,Renewal Licensed,"DISTRIBUTION MANAGER, WHOLESALER",CALGARY INTERNATIONAL AIRPORT           
1448506 ALBERTA,217 EXPLORATION AV SE CALGARY,Expired,"WAREHOUSING, WHOLESALER",RESIDUAL WARD 12 - SUB AREA 12A
14TH STREET CAR WASH,418 14 ST NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R)",HILLHURST                               
15 MINUTE EXERCISE,#105 1414 KENSINGTON RD NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",HILLHURST                               
1500468 ALBERTA,5058 80 AV SE CALGARY,Pending Renewal,MANUFACTURER,FOOTHILLS                               
1501309 ALBERTA,2727 16 AV NW CALGARY,Renewal Licensed,PERSONAL SERVICE,ST. ANDREWS HEIGHTS                     
1582529 ALBERTA,428 MORAINE RD NE CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,MERIDIAN                                
1600 WORLD BIER HAUS,#100A 1600 90 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BAYVIEW                                 
1612,1612 24 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
1673942 ALBERTA,133 15 AV SE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
17 AVE DISCOUNT PHARMACY,3415 17 AV SE CALGARY,Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SOUTHVIEW                               
17 GOLDEN STAR,#313 4909 17 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),FOREST LAWN INDUSTRIAL                  
1749196 ALBERTA,4623 73 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BOWNESS                                 
17TH AVE CANINE SOCIAL CLUB,233 17 AV SW CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,MISSION                                 
17TH AVE WINE AND SPIRITS,#130 519 17 AV SW CALGARY,Renewal Licensed,LIQUOR STORE,CLIFF BUNGALOW                          
17TH AVENUE ANIMAL HOSPITAL,233 17 AV SW CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",MISSION                                 
17TH AVENUE FRAMING,1232 17 AV SW CALGARY,Renewal Licensed,MANUFACTURER,BELTLINE                                
1-800-RADIATOR ALBERTA,7004U 5 ST SE CALGARY,Expired,WHOLESALER,FAIRVIEW INDUSTRIAL                     
1812331 ALBERTA,#209 10836 24 ST SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),SHEPARD INDUSTRIAL                      
