id,title,description,streetAddress,postalCode,addressLocality,telefonos,fax,email,url,image,logo,socioHoreca,accesibilidad,comment,categoria,habitaciones,camas,geometry,lastUpdated,link
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1068","HOTEL DELICIAS","C/ Sangenis, 13 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 876 28 02 25","C/ Sangenis, 13","50010","Zaragoza","876 28 02 25","","reservas@hoteldeliciaszaragoza.com","http://www.zaragozahoteldelicias.com","","","true","<div><img src=""/cont/paginas/sinbarreras/img/icono_silla1.jpg"" alt=""""/> Accesible</div><ul><li><strong>Aparcamiento</strong>: No tiene plazas reservadas</li><li><strong>Acceso</strong>:Entrada adaptada por Pº. Calanda, 28, (hay que salvar un escalón de unos 4 cm.). Puertas no automáticas. Mostrador de información no adaptado</li><li><strong>Movilidad en el interior del edificio:</strong><ul><li><strong>Zonas comunes:</strong><ul><li> Servicio de cafetería: con barra sin adaptar en altura, pero ofrecen servicio de mesas, espacios amplios para la movilidad.</li><li>Espacios Amplios: Sí. Pavimento antideslizante.</li><li>Ascensor Adaptado:Sí. adaptado, botonera en relieve, barra de apoyo</li></ul></li><li><strong>Habitaciones:</strong><ul><li> Habitaciones Adaptadas: Una.</li><li>Espacios Amplios: Sí, no hay dificultad de giro</li><li>Aseos Adaptados: Sí. Baño con ducha a ras de suelo. Asiento abatible, inodoro con barras de apoyo, lavabo sin pedestal, y espejo inclinado</li></ul></li></ul></li></ul><p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>","Parking concertado.","Hotel 2 estrellas","40","68","674618.38 4613507.74",2016-06-21T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1068&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/72","HOTEL EL PRÍNCIPE","C/ Santiago, 12 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 41 01","C/ Santiago, 12","50003","Zaragoza","976 29 41 01","976 29 90 47","reservas@hotel-elprincipe.com","http://www.hotelelprincipezaragoza.es","","","true","","Hotel Restaurante situado en el Centro Histórico y Comercial de Zaragoza, junto a la Basílica del Pilar y la Catedral de la Seo. Dispone de salas para reuniones, internet inalámbrico WI-FI gratuito, habitaciones para no fumadores y parking concertado a 50 metros.

Todas las habitaciones cuentan con baño completo con secador de pelo, TV vía satélite, teléfono, minibar, climatización y conexión a internet sin cargo.
HABITACIONES DOBLES: 39
HABITACIONES INDIVIDUALES: 6


This Hotel-Restaurant is found in the historical-commercial centre of Zaragoza, next to the Basílica del Pilar and the la Seo cathedral. There are function rooms, free WiFi internet access, rooms for non-smokers and parking within 50 meters of the hotel.

All the rooms have en suite bathroom, hairdryer, satellite TV, telephone, minibar, air conditioning and free internet access.
DOUBLE ROOMS: 39
SINGLE ROOMS: 6","Hotel 3 estrellas","45","81","676719.04 4613905.13",2016-04-05T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=72&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/78","HOTEL DON JAIME 54","C/ Don Jaime I, 54-56 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 294 322","C/ Don Jaime I, 54-56","50001","Zaragoza","976 294 322","976 203 031","info@hoteldonjaime54.es","http://http://www.hoteldonjaime54.es","","","true","","APERTURA SEPTIEMBRE 2015

Hotel situado junto a la Basílica de Nuestra Señora del Pilar y la Catedral de San Salvador «La Seo», de fácil acceso a las principales vías de comunicación, se encuentra ubicado en el centro neurálgico del sector comercial, cultural y de ocio de la ciudad.

- Cuenta con 78 confortables habitaciones con: - Baño completo. - TV. - Aire acondicionado. - Teléfono directo. - Caja fuerte.
- Parking próximo.
- Restaurante y cafetería.
- Así como salones de distinta capacidad para reuniones, convenciones, bodas y banquetes.

<ul><li>Parking concertado.</li><li>Admiten perros.</li></ul>

The Hotel is set in the very centre of Zaragoza, next to the Basílica de Nuestra Señora del Pilar and the La Seo, San Salvador Cathedral. It has direct access to all the main roads and is at the commercial, cultural and recreational heart of the city.
- There are 78 comfortable rooms with: En suite bathroom,  TV,  Air conditioning,  Direct dialling telephone,  Safe deposit box
- Parking nearby
- Restaurant and cafeteria.
- There are also function rooms for meetings, conferences, weddings and banquets.","Hotel 3 estrellas","66","117","676899.05 4613866.15",2016-10-20T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=78&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1112","PENSIÓN JUANA","Avda. Navarra, 36, 1ºA <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 53 29 53","Avda. Navarra, 36, 1ºA","50017","Zaragoza","976 53 29 53","","","","","","true","","Habitación sin lavabo.","Pensión","4","7","674547.85 4613846.6",2016-04-06T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1112&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1117","HOSTAL CASTILLA","C/ López Allue, 2, 2º E y 3º F <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 55 86 26","C/ López Allue, 2, 2º E y 3º F","50005","Zaragoza","976 55 86 26","","maginyalicia@yahoo.es","","","","true","","También dispone de habitaciones con ducha","Hostal","14","19","675527.83 4612649.85",2016-04-06T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1117&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1118","HOSTAL AYBAR","C/ Conde Aranda, 142 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 43 66 01","C/ Conde Aranda, 142","50003","Zaragoza","976 43 66 01","","info@hostalaybar.es","http://www.hostalaybar.es","","","true","","Habitación con baño o lavabo","Hostal","11","17","675515.78 4613967.6",2016-04-05T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1118&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1120","HOSTAL NAVARRA","C/ San Vicente de Paúl, 30, ppal. izda. <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 16 84","C/ San Vicente de Paúl, 30, ppal. izda.","50001","Zaragoza","976 29 16 84","976 29 16 84","hostalnavarra@hotmail.es","http://hnavarra.com","","","true","","Habitaciones con baño, ducha o lavabo","Hostal","13","22","677057.71 4613664.97",2016-04-06T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1120&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1122","HOSTAL SANTIAGO","C/ Santiago, 3 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 39 45 50","C/ Santiago, 3","50003","Zaragoza","976 39 45 50","976 29 48 39","","","","","true","","Habitación con baño, ducha.","Hostal","11","17","676716.71 4613912.02",2016-04-06T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1122&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1124","HOSTAL AISA OCHOA","C/ Boggiero, 166, 2ºA y B <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 432 465","C/ Boggiero, 166, 2ºA y B","50003","Zaragoza","976 432 465","976 437 201","","http://www.hostalaisaochoa.es","","","true","","Habitaciones con baño","Hostal","21","39","675643.78 4614008.58",2016-04-03T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1124&op=t"
"http://www.zaragoza.es/api/recurso/turismo/alojamiento/1125","HOSTAL EL DESCANSO","C/ San Lorenzo, 2 <strong><abbr title=""Teléfono"">Tel.:</abbr></strong> 976 29 17 41","C/ San Lorenzo, 2","50001","Zaragoza","976 29 17 41","976 29 17 41","hostaleldescansozgz@gmail.com","http://hostaleldescanso.wix.com/hostaleldescanso","","","true","","Habitación con lavabo","Hostal","22","31","676927.08 4613607.54",2016-04-06T00:00:00Z,"/ciudad/turismo/es/organiza-viaje/detalle_Alojamiento?id=1125&op=t"
