CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,URBAN_STR,DECADE,SRG,CONTACT,EMAIL,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,INNER SUBURBS,1940s,BUILT-OUT,Robyn Holme,Robyn.Holme@calgary.ca,2008,,3641,1823,183,0,1061,862,263,2,127,161,183,220,0,2,1,1,0,1,0,0,122,1,133,5,0,0,0,189,5,283,4,0,27,0,232,126,533,16,15,0,0,178,172,292,4,0,1,0,2,0,3,0,0,0,0,4,0,296,0,0,1,0,150,124,329,7,4,0,2,815,633,1772,33,7,5,5,642,659,223,157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013962.83812000000,8242.93247518000
Residential,1,WSP,WEST SPRINGS,WEST,NEW SUBURBS,BUILDING OUT,DEVELOPING,Mike Marko,Mike.Marko@calgary.ca,2008,,6184,2289,979,0,1966,1759,155,1,0,370,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,147,140,289,3,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,297,254,605,12,61,0,10,1630,1570,5280,37,82,0,1,259,613,434,714,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071173.00651000000,8272.16076155000
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Cameron Salisbury,Cameron.Salisbury@calgary.ca,2008,,8536,3041,694,0,2211,2059,76,0,58,630,0,218,0,0,0,0,0,0,0,0,54,49,78,4,0,0,0,161,12,332,2,0,55,0,75,42,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,436,1641,13,0,1,1,2000,1672,6286,52,0,6,0,429,936,619,736,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487253.59045000000,6281.98092578000
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,ESTABLISHED SUBURBS,1960s,BUILT-OUT,Cameron Salisbury,Cameron.Salisbury@calgary.ca,2008,,5986,2742,340,0,1493,1304,321,16,620,286,0,193,0,0,1,0,0,1,0,0,604,224,1007,16,0,0,0,171,6,290,15,0,7,0,314,139,740,7,0,0,0,0,0,0,0,0,0,0,16,0,31,0,0,0,0,1,0,1,1,0,0,0,283,12,718,3,0,0,1,1283,1112,3199,19,0,1,2,793,1015,448,387,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021813.73699000000,6234.85937781000
Residual Sub Area,4,10A,10A,EAST,GREENFIELD,NON RESIDENTIAL,N/A,Allison Chan,Allison.D.Chan@calgary.ca,2008,,706,324,45,0,303,18,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302,293,645,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,61,0,0,0,0,71,160,53,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9969358.25041000000,14263.24426200000
Residential,1,COA,COACH HILL,WEST,RECENT SUBURBS,1980s,BUILT-OUT,Steve Jones,Steve.Jones2@calgary.ca,2008,,3240,1481,184,0,1245,634,104,0,237,506,0,0,0,0,0,0,0,0,0,2,190,163,282,45,0,0,0,0,0,0,0,0,0,0,102,93,205,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,381,976,17,0,0,0,622,608,1777,11,0,1,0,411,519,209,242,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076091.99187000000,4831.20981807000
Residential,1,WHL,WEST HILLHURST,CENTRE,INNER CITY,1940s,BUILT-OUT,Dawn Boutilier,Dawn.Boutilier@calgary.ca,2008,,5481,2840,381,0,1499,1571,473,25,334,155,0,274,0,7,0,0,0,1,0,1,320,63,393,7,0,6,0,215,19,356,27,1,31,1,432,287,1002,18,22,0,0,0,0,0,0,0,0,0,24,1,35,1,0,0,0,7,4,113,1,0,0,0,140,85,262,13,2,0,4,1434,1040,3320,90,42,1,8,893,955,390,328,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362234.99006000000,7089.65905728000
Residential,1,POI,POINT MCKAY,CENTRE,INNER SUBURBS,1970s,BUILT-OUT,Laura Weckman,Laura.Weckman@calgary.ca,2008,,1377,846,22,0,665,0,24,0,312,510,0,0,0,0,0,0,0,0,0,0,300,218,443,12,0,0,0,0,0,0,0,0,0,0,24,24,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,423,879,5,0,0,0,0,0,0,0,0,0,0,378,375,57,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383870.29305800000,2503.66356291000
Industrial,2,MLI,MAYLAND,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cameron Salisbury,Cameron.Salisbury@calgary.ca,2008,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227207.22151000000,5751.14173476000
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,INNER CITY,PRE-1940,BUILT-OUT,Dawn Boutilier,Dawn.Boutilier@calgary.ca,2008,,5251,2913,266,0,1074,925,71,5,1404,185,0,304,1,11,1,5,0,1,0,6,1290,439,1973,53,48,7,1,257,15,376,12,0,34,0,65,22,117,6,0,0,0,0,0,0,0,0,0,0,5,4,6,0,0,0,1,18,1,738,0,0,0,4,152,59,234,6,4,19,14,848,534,1807,45,6,12,19,1294,950,250,127,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051304.76880000000,8373.44777214000
