Extract date,Organisation URI,Organisation label,Service type URI,Service type label,Programme ,Event title ,Event description ,Event type,Site name,Month,Date and time,Audience / Type,Ticket price,Booking information
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Leeds waterway festival,Leeds Waterway Festival,"Raising the profile of the waterway in Leeds with live music , food and craft events at various waterside sites.",Regular event,Thwaite Mills Watermill,Jun,Sat Sun 25/26 10am till 5pm,Family,free event,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays,party on pirate island,fun for the family with boat rides fancy dress(best dressed pirate ) treasure hunt and games face painting and bouncy castle,Regular event,Thwaite Mills Watermill,Aug,sun 14th 11am till 4pm,Family,normal admission applies,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Leeds Classic bus running day and Classic Car show,"A range of classic vehicles on show, and a chance to travel around leeds on a selection of vintage leeds buses",,Thwaite Mills Watermill,Aug,sun21st  10.30am till 5pm,Family,normal admission applies,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Steaming programme,Steam Crane days,See the steam crane in action,,Thwaite Mills Watermill,Aug,"Thursdays 4th and 18th, 11am to 3pm",All,,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Steaming programme,Steam Crane days,See the steam crane in action,,Thwaite Mills Watermill,Sep,Thursday 1st 11am to 3pm,All,,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Summer holidays,Construction Challenge - make a working Crane,,Family activity,Thwaite Mills Watermill,Aug,"Thursday 4th, 11am to 3pm",Family,,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Summer holidays,Construction Challenge - make a Robot,,Family activity,Thwaite Mills Watermill,Aug,"Thursday 18th, 11am to 3pm",Family,,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Summer holidays,construction challenge - make a Mars Rover,,Family activity,Thwaite Mills Watermill,Sep,Thursday 1st 11am to 3pm,Family,,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Heritage Open days,Heritage Open days,Especially for Heritage Open Days Thwaite Mills Watermill will offer free admission to the site on Saturday 10 and Sunday 11 September from 1pm to 5pm. Our knowledgeable staff will be running guided tours every half hour from 1.15pm to 3.15pm.,Tour,Thwaite Mills Watermill,Sep,Sat 10th and Sun 11th 1pm to 5pm,All,free,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Apple Day and school holidays,Orchard Explorers,Join us to celebrate apple day and explore the ancient orchard at Thwaite Mills and discover more about native and traditional types of apples. If you don't like apples don't worry we have other fruit as well. A fun filled day with fruit themed activities.,Family activity,Thwaite Mills Watermill,Oct,Sat 22nd October 1pm to 5pm,All,normal admission,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,School holidays,A Fruit and Vegetable Power Station,"Can fruit power a light? What about vegetables, join us for experimenting fun to find out",Family activity,Thwaite Mills Watermill,Oct,Thur 27th 1pm to 3pm,Family,normal admission,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime and Punishment Exhibition Event,"Val Crompton (Friends of Adel Church) and The Adel Players          ‘Crime, punishment & ghosts from the past...’ A talk & performance",Adult talk,Talk,Abbey House Museum,Jun,"Wed 15th June,  2.30pm         ",Adult,5,(0)1133784079   abbey.house@leeds.gov.uk
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime and Punishment Exhibition Event,Kenneth Burton (Beeston Historical Society)  'Crimes from Old South Leeds' ,Adult talk,Talk,Abbey House Museum,Jun,"Tues 28th June,  2pm",Adult,5,(0)1133784079   abbey.house@leeds.gov.uk
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime and Punishment Exhibition Event,Geoffrey Forster (Leeds Library)  ‘Joseph Blackburn and Thomas Wainwright: fraudulent attorneys in Regency Leeds’ ,Adult talk,Talk,Abbey House Museum,Jul,"Tues 12th July, 2pm         ",Adult,5,(0)1133784079   abbey.house@leeds.gov.uk
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime and Punishment Exhibition Event,Heather Shore (Leeds Beckett University) 'Bad Boys and Artful Dodgers: Juvenile Offenders in Victorian and Edwardian England' ,Adult talk,Talk,Abbey House Museum,Jul,"Tues 19th July, 2pm              ",Adult,5,(0)1133784079   abbey.house@leeds.gov.uk
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Youth Engagement ,Teens creative workshops,Summer workshops for 13-19 years ,Workshop,Abbey House Museum,Jul,"4th, 11th August 12-3pm",Young people,pay admiss.,(0)1133784079
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Youth Engagement ,International Youth Day ,Young peoples event 13-24 years ,Workshop,Abbey House Museum,Aug,12th August ,Young people,,(0)113 3784079
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Under 5's ,Little Scientists ,"For all curious under 5's and their carers. Join us to explore, create and have lots of science fun. No science knowledge necessary just curiosity! This months theme is bubbles. ",Family activity,Abbey House Museum,Jul,wed 6 July 10-12 & 2-4 ,Under 5's,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Adult Study Day ,"Shop till you drop, the changing face of retail in Leeds. ","Retail is an unavoidable part of modern life.  Whether you need something for tea, a new outfit, or to decorate your bedroom, it is difficult to get away from shopping.  This study day is an opportunity to find out more about some of the history of retail in Leeds – from the glamorous to the grimy. The morning will feature an illustrated talk on retail and some of the changes that have happened over the last 150 years, including local examples such as the famous Victorian Arcades and their modern revival.  In the afternoon we will explore some of the museum ephemera collections relating to retail.  Ever wondered what a Victorian sanitary ware catalogue looked like, wanted to peruse a 1920’s bulb catalogue, or perhaps you would just like to remind yourself what Argos were selling in 1973?  If so, this is the perfect opportunity for you to come along and find out more.",Study day,Abbey House Museum,Jul,Thurs 7 July 11-3,Adult,10,(0)1133784079   abbey.house@leeds.gov.uk
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Charlie & the Chocolate Factory Family Fun ,"Family crafts and activities inspired by the wonderful Charlie & the Chocolate Factory, including a hunt for the golden ticket around our Victorian Streets",Family activity,Abbey House Museum,Jul,Tues 26 July 10-12 & 2-4 ,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,George's Marvellous Medicine Silly Science,Fun and silly science experiments inspired by George's mixing of marvellous medicines,Family activity,Abbey House Museum,Jul,wed 27 July 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Fantastic Beasts with Lion Learners ,,Family activity,Abbey House Museum,Jul,Thurs 28 July 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Matilda Family fun crafts,"Family crafts  inspired by the Matilda, including  a terrifying Trunchbull and a friendly newt!",Family activity,Abbey House Museum,Jul,Fri 29 July 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Witches Family fun ,"Family crafts and activities inspired by the The Witches, including a masks mice and cauldron challenges",Family activity,Abbey House Museum,Aug,toes 2 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Enormous Crocodile Silly Science,Fun and silly science experiments inspired by the Enormous Crocodile. Why cant you open your mouth as wide as a crocodile and how can you defeat one with a rubber band? ,Family activity,Abbey House Museum,Aug,wed 3 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Magic Finger with Shirley Cass ,,Family activity,Abbey House Museum,Aug,Thurs 4 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The BFG Family Crafts ,Family craft activities inspired by The BFG including dream catchers and snozzcumbers! ,Family activity,Abbey House Museum,Aug,Fri 5 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Revolting Recipes Family Fun ,"Family crafts and activities inspired by the Roald Dahl's Revolting Recipes, including a some food fun our Victorian Streets",Family activity,Abbey House Museum,Aug,toes 9 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Charlie & the Chocolate Factory Silly Science  ,Fun and silly science experiments inspired by the Charlie and the Chocolate Factory. How can you tell a good egg like Verruca Salt or make something shrink like Mike Teevee? ,Family activity,Abbey House Museum,Aug,wed 10 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Fantastic Beasts with Lion Learners ,,Family activity,Abbey House Museum,Aug,Thurs 11 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Fantastic Mr Fox Family crafts ,Foxy fun crafts around the museum ,family activity,Abbey House Museum,Aug,Fri 12 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,George's Marvellous Medicine Family Fun,Family crafts and activities inspired by The BFG including dream catchers and snozzcumbers! ,Family activity,Abbey House Museum,Aug,toes 16 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Witches Silly Science ,Fun and silly science experiments inspired by The Witches. How can you add fizz to your potion or make a ring float? ,Family activity,Abbey House Museum,Aug,wed 17 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Magic Finger with Shirley Cass ,,Family activity,Abbey House Museum,Aug,Thurs 18 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,"The Giraffe, the Pelly and Me family crafts",Fun animal crafts around the museum ,Family activity,Abbey House Museum,Aug,Fri 19 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Twits Family Crafts ,Icky sticky fun and craft inspired by the awful Twits including wormy spaghetti and horrible beards!  ,Family activity,Abbey House Museum,Aug,toes 23 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Revolting Recipes Silly Science ,"Fun and silly science experiments inspired by revolting recipes including lots of fizzy foam, swelling jelly and other foody fun. ",Family activity,Abbey House Museum,Aug,wed 24 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Fantastic Beasts with Lion Learners ,,Family activity,Abbey House Museum,Aug,Thurs 25 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Willy Wonka Family crafts ,More family fun crafts inspired by the wacky world of Willy Wonka ,Family activity,Abbey House Museum,Aug,Fri 26 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,Roald Dahl Day ,A mixture of fun family crafts and colouring inspired by Roald Dahls characters ,Family activity,Abbey House Museum,Aug,mon 29 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Enormous Crocodile Family Fun ,Family crafts and activities inspired by The Enormous Crocodile. ,Family activity,Abbey House Museum,Aug,toes 30 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,"The Giraffe, the Pelly and Me Silly Science ",Fun and silly science experiments inspired by animals. ,Family activity,Abbey House Museum,Aug,wed 31 Aug. 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,The Magic Finger with Shirley Cass ,,Family activity,Abbey House Museum,Aug,Thurs 1 sept  10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,summer holidays ,James and the Giant Peach Family crafts,Peachy crafts around the museum.,Family activity,Abbey House Museum,Aug,Fri 2 sept 10-12 & 2-4,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Regular activities ,Artie Smarties ,Relaxing crafts for a Sunday afternoon in the museum ,Family activity,Abbey House Museum,Every Sunday ,2-4pm ,Family,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Regular activities ,The Messy Monkey Club ,"Messy, creative fun for under 5's and the best bit is we clear up afterwards!  Please wear suitable messy clothing as sometimes we paint and sometimes we get wet!",Family activity,Abbey House Museum,every Friday in term time ,10-12 & 2-4 ,Under 5's,normal admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler Month Treasure  Trails ,"Fun trails around our Victorian streets including finding stickers, drawing and making ",Family activity,Abbey House Museum,Sep,Tues 5 Sep 10-4 ,Under 5's,included in admission ,drop in 
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Little Scientists ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! This months theme is water. ",Family activity,Abbey House Museum,Sep,Wed 6 Sep 10-12 & 2-4,Under 5's,included in admission ,drop in 
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,Building Victorian Leeds Study Day ,"Come learn about the changing face of Leeds in the 1800s, from humble back-to-backs, to grand public buildings and statues. Who were the architects responsible for transforming a modest Georgian town into a great Victorian City? How did the town’s buildings reflect the lives of its inhabitants? And how much of this Victorian heritage remains today? Come and explore changes to Leeds’ architectural fabric through collections not on display, including rare maps, prints, photographs, bills and letterheads. With Patrick Bourne, Assistant Curator of Community History",Study day,Abbey House Museum,Sep,Thurs 08 Sep 11-3,Adult,10,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,The Messy Monkey Club ,"Join us for our usual Friday messy sessions with added sparkle just for toddler month! There will be paint, instruments, glue, books, glitter and fun! Be ",Family activity,Abbey House Museum,Sep,Fri 9 Sep 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler Month Treasure  Trails ,"Fun trails around our Victorian streets including finding stickers, drawing and making ",Family activity,Abbey House Museum,Sep,toes 13 Sep 10-4 ,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime & Punishment talks ,Frances Brody on writing historical crime fiction,Local historical crime author Frances Brody chats about her Kate Shackleton mysteries set in 1920s Yorkshire.,Talk,Abbey House Museum,Sep,toes 13 sep 2.30-4,Adult,5,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler month Little Scientists afternoon ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! ",Family activity,Abbey House Museum,Sep,wed 14 sep 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,The Messy Monkey Club ,"Join us for our usual Friday messy sessions with added sparkle just for toddler month! There will be paint, instruments, glue, books, glitter and fun! Be ",Family activity,Abbey House Museum,Sep,Fri 16 sep 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler Month Treasure  Trails ,"Fun trails around our Victorian streets including finding stickers, drawing and making ",Family activity,Abbey House Museum,Sep,tues 20 sep 10-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler month Little Scientists afternoon ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! ",Family activity,Abbey House Museum,Sep,wed 21 Sep 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,"Shop till you drop, retail study day ","Ever wondered what a Victorian sanitary ware catalogue looked like, wanted to peruse a 1920’s bulb catalogue, or remind yourself what Argos were selling in 1973? This study day is an opportunity to find out more about some of the history of retail in Leeds – from the glamorous to the grimy. The morning will feature an illustrated talk on retail and some of the changes that have happened over the last 150 years, including local examples such as the famous Victorian Arcades and their modern revival.  In the afternoon we will explore some of the museum ephemera collections relating to retail.   ",Study day,Abbey House Museum,Sep,Thurs 22 Sep 11-3,Adult,10,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,The Messy Monkey Club ,"Join us for our usual Friday messy sessions with added sparkle just for toddler month! There will be paint, instruments, glue, books, glitter and fun! Be ",Family activity,Abbey House Museum,Sep,Fri 23 sep 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler Month Treasure  Trails ,"fun trails around our Victorian streets including finding stickers, drawing and making ",Family activity,Abbey House Museum,Sep,tues 27 sep 10-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,Toddler month Little Scientists afternoon ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! ",Family activity,Abbey House Museum,Sep,wed 28 sep 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Abbey House Toddler Month,The Messy Monkey Club ,"Join us for our usual Friday messy sessions with added sparkle just for toddler month! There will be paint, instruments, glue, books, glitter and fun! Be ",Family activity,Abbey House Museum,Sep,Fri 30 sep 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Crime & Punishment talks ,FM Rimmington: The Sherlock Holmes of Bradford',"the tale of how a chemist turned sleuth in Victorian Bradford on the trail of crime which was connected to Jack the Ripper. With Lauren Padgett, Leeds Trinity University",Talk,Abbey House Museum,Oct,Tues 4 Oct 2.30-4,Adult,5,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,Little Scientists ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! This months theme is electricity. ",Family activity,Abbey House Museum,Oct,wed 5 Oct. 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,The Messy Monkey Club ,"Messy, creative fun for under 5's and the best bit is we clear up afterwards!  Please wear suitable messy clothing as sometimes we paint and sometimes we get wet!",Regular event,Abbey House Museum,Oct,Fri 7 Oct. 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,Mindfulness Week,Abbey House Mindfulness Week,"In recognition of World Mental Health Day on 10th October, Abbey House Museum are putting on a week of activities from meditation to knitting, book readings and creative writing workshops.",Crafts,Abbey House Museum,Oct,tues 11- Sun 16 Oct times vary ,All,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,The Messy Monkey Club ,"Messy, creative fun for under 5's and the best bit is we clear up afterwards!  Please wear suitable messy clothing as sometimes we paint and sometimes we get wet!",Regular event,Abbey House Museum,Oct,Fri 14 Oct 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,Death & Disease in Victorian Leeds,"Come and explore the darker sides of Leeds through the collections at Abbey House including items not usually on display.  With Patrick Bourne, Assistant Community Curator. ",Study day,Abbey House Museum,Oct,Thurs 20 Oct. 11-3,Adult,10,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,The Messy Monkey Club ,"Messy, creative fun for under 5's and the best bit is we clear up afterwards!  Please wear suitable messy clothing as sometimes we paint and sometimes we get wet!",Regular event,Abbey House Museum,Oct,Fri 21 Oct. 10-12 & 2-4 ,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,October half term ,Spooktastic Halloween Family Fun ,"Get ready for Halloween and  join us for a fun day of spooky  crafts, decorations  and activities in the museum.  A",Family activity,Abbey House Museum,Oct,Tues 25 Oct 10-12 & 2-4,Family,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,October half term ,Silly Science Magic Potions ,"For all curious silly scientists. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! This months theme is Magic potions. ",Family activity,Abbey House Museum,Oct,Wed 26 Oct 10-12 & 2-4,Family,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,October half term ,Murder at the Museum- Halloween special ,A body has been found in the Mourning Warehouse in our Victorian Street! Make yourself a detective disguise then set off to solve the clues and crack the case. ,Family activity,Abbey House Museum,Oct,Thus 27 Oct 10-12 & 2-4,Family,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,October half term ,Haunted Abbey House ,"Have a scream and join us for a variety of crafts, decorations and activities in our creepily decorated Victorian Streets. ",Family activity,Abbey House Museum,Oct,Fri 28  Oct 10-12 & 2-4 ,Family,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,October half term ,Teens event Halloween Special FX Make up ,Come along with your friends and enjoy our event hosted by a professional make-up artist.  Learn how to apply gruesome Halloween and special effects ,,Abbey House Museum,Oct,Sat 22 Oct 12-4,Young people,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,Little Scientists ,"For curious under 5's and their carers. Join us at Abbey House to explore, create and have lots of science fun. No science knowledge necessary just curiosity! This months theme is goo. ",Family activity,Abbey House Museum,Nov,wed 2 Nov 10-12 & 2-4,Under 5's,included in admission ,
21/06/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/1020,Museum Events and Exhibitions,,The Messy Monkey Club ,"Messy, creative fun for under 5's and the best bit is we clear up afterwards!  Please wear suitable messy clothing as sometimes we paint and sometimes we get wet!",Family activity,Abbey House Museum,Nov,Fri 4 Nov 10-12 & 2-4,Under 5's,included in admission ,
