DIA ;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN _ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
10/08/2015;3.991,13;19.894,18;23.885,31;995,22;7.986;189;8.175
11/08/2015;4.364,40;19.817,30;24.181,70;1.007,57;8.750;191;8.941
12/08/2015;4.633,72;19.725,32;24.359,04;1.014,96;9.132;251;9.383
13/08/2015;4.498,85;19.530,97;24.029,82;1.001,24;8.935;236;9.171
14/08/2015;4.309,22;22.770,43;27.079,65;1.128,32;8.165;231;8.396
15/08/2015;4.156,77;21.431,75;25.588,52;1.066,19;7.000;297;7.297
16/08/2015;3.921,48;19.269,10;23.190,58;966,27;6.770;336;7.106
17/08/2015;4.139,10;18.910,27;23.049,37;960,39;8.340;200;8.540
18/08/2015;4.130,08;19.764,92;23.895,00;995,63;8.790;269;9.059
19/08/2015;4.298,80;20.216,48;24.515,28;1.021,47;8.910;227;9.137
20/08/2015;4.429,10;20.311,57;24.740,67;1.030,86;9.327;292;9.619
21/08/2015;4.288,75;21.897,31;26.186,06;1.091,09;8.737;306;9.043
22/08/2015;4.247,52;21.262,88;25.510,40;1.062,93;7.668;475;8.143
23/08/2015;4.500,27;18.054,25;22.554,52;939,77;7.911;469;8.380
24/08/2015;4.089,20;19.661,07;23.750,27;989,59;8.635;223;8.858
25/08/2015;4.406,80;19.250,90;23.657,70;985,74;9.397;212;9.609
26/08/2015;4.727,38;18.599,57;23.326,95;971,96;10.135;197;10.332
27/08/2015;4.786,27;18.617,77;23.404,04;975,17;10.421;189;10.610
28/08/2015;4.808,35;19.826,72;24.635,07;1.026,46;10.309;245;10.554
29/08/2015;4.902,48;18.933,37;23.835,85;993,16;9.433;400;9.833
30/08/2015;4.264,58;16.590,13;20.854,71;868,95;8.013;309;8.322
31/08/2015;4.193,65;17.616,37;21.810,02;908,75;9.601;142;9.743
01/09/2015;4.862,37;15.893,35;20.755,72;864,82;11.133;162;11.295
02/09/2015;5.299,17;15.529,33;20.828,50;867,85;11.942;158;12.100
03/09/2015;5.577,73;15.865,73;21.443,46;893,48;12.919;171;13.090
04/09/2015;5.399,38;17.933,35;23.332,73;972,2;12.253;177;12.430
05/09/2015;5.619,78;16.950,61;22.570,39;940,43;10.598;454;11.052
06/09/2015;6.045,88;14.331,35;20.377,23;849,05;10.629;561;11.190
07/09/2015;5.006,28;16.303,12;21.309,40;887,89;10.560;226;10.786
08/09/2015;5.602,02;16.734,39;22.336,41;930,68;12.315;194;12.509
09/09/2015;5.851,15;17.181,96;23.033,11;959,71;12.863;184;13.047
10/09/2015;5.911,82;18.342,10;24.253,92;1.010,58;13.747;164;13.911
11/09/2015;6.347,50;20.914,70;27.262,20;1.135,93;13.558;254;13.812
12/09/2015;5.990,42;18.784,65;24.775,07;1.032,29;11.419;513;11.932
13/09/2015;5.927,62;15.314,63;21.242,25;885,09;10.391;549;10.940
14/09/2015;5.101,38;22.461,62;27.563,00;1.148,46;11.076;206;11.282
15/09/2015;4.420,27;22.451,68;26.871,95;1.119,66;10.079;106;10.185
16/09/2015;3.437,28;22.886,11;26.323,39;1.096,81;7.636;64;7.700
17/09/2015;5.186,62;25.263,18;30.449,80;1.268,74;11.823;127;11.950
18/09/2015;6.024,15;29.454,90;35.479,05;1.478,29;13.478;199;13.677
19/09/2015;6.158,48;27.091,52;33.250,00;1.385,42;12.287;328;12.615
20/09/2015;6.386,03;22.464,77;28.850,80;1.202,12;11.685;745;12.430
21/09/2015;5.225,35;26.901,23;32.126,58;1.338,61;12.068;230;12.298
22/09/2015;5.904,35;27.842,22;33.746,57;1.406,11;13.662;130;13.792
23/09/2015;5.701,05;28.433,28;34.134,33;1.422,26;13.555;198;13.753
24/09/2015;6.056,50;29.494,80;35.551,30;1.481,30;13.922;183;14.105
25/09/2015;6.405,98;31.718,06;38.124,04;1.588,50;14.976;332;15.308
26/09/2015;6.680,65;28.258,18;34.938,83;1.455,78;13.485;594;14.079
