DIA ;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN _ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
09/07/2016;3.145,53;44.255,65;47.401,18;1.975,05;8.219;328;8.547
10/07/2016;2.761,62;42.895,33;45.656,95;1.902,37;7.298;340;7.638
11/07/2016;3.571,67;44.052,90;47.624,57;1.984,36;11.064;137;11.201
12/07/2016;3.912,67;43.740,25;47.652,92;1.985,54;12.189;152;12.341
13/07/2016;3.922,52;42.480,93;46.403,45;1.933,48;12.631;180;12.811
14/07/2016;3.893,85;41.579,93;45.473,78;1.894,74;12.030;196;12.226
15/07/2016;3.622,85;42.342,21;45.965,06;1.915,21;11.029;188;11.217
16/07/2016;2.886,67;43.458,78;46.345,45;1.931,06;7.663;357;8.020
17/07/2016;2.799,63;41.941,13;44.740,76;1.864,20;7.095;266;7.361
18/07/2016;3.341,35;42.835,08;46.176,43;1.924,02;10.271;174;10.445
19/07/2016;3.704,30;42.008,33;45.712,63;1.904,69;11.373;167;11.540
20/07/2016;3.644,22;42.370,65;46.014,87;1.917,29;11.418;198;11.616
21/07/2016;3.691,57;43.171,21;46.862,78;1.952,62;11.702;143;11.845
22/07/2016;3.439,37;43.122,53;46.561,90;1.940,08;10.151;212;10.363
23/07/2016;2.563,93;44.711,83;47.275,76;1.969,82;6.206;302;6.508
24/07/2016;2.309,60;43.985,83;46.295,43;1.928,98;5.611;301;5.912
25/07/2016;2.496,93;45.882,92;48.379,85;2.015,83;6.055;215;6.270
26/07/2016;3.395,60;45.178,95;48.574,55;2.023,94;10.198;143;10.341
27/07/2016;3.593,12;44.470,35;48.063,47;2.002,64;10.940;145;11.085
28/07/2016;3.656,30;43.886,92;47.543,22;1.980,97;11.128;151;11.279
29/07/2016;3.493,87;44.625,25;48.119,12;2.004,96;10.110;175;10.285
30/07/2016;2.597,13;46.098,28;48.695,41;2.028,98;7.006;195;7.201
31/07/2016;2.776,80;44.666,83;47.443,63;1.976,82;6.715;294;7.009
01/08/2016;2.989,30;45.776,03;48.765,33;2.031,89;8.622;187;8.809
02/08/2016;3.038,27;45.217,80;48.256,07;2.010,67;8.891;184;9.075
03/08/2016;3.248,42;45.030,87;48.279,29;2.011,64;9.373;204;9.577
04/08/2016;3.144,43;45.118,52;48.262,95;2.010,96;9.280;176;9.456
05/08/2016;2.931,65;44.923,30;47.854,95;1.993,96;8.369;191;8.560
06/08/2016;2.384,70;45.531,81;47.916,51;1.996,52;5.755;258;6.013
07/08/2016;2.383,03;44.271,48;46.654,51;1.943,94;5.398;263;5.661
08/08/2016;2.508,63;45.789,50;48.298,13;2.012,42;7.322;203;7.525
09/08/2016;2.622,38;45.374,51;47.996,89;1.999,87;7.712;168;7.880
10/08/2016;2.759,55;44.321,75;47.081,30;1.961,72;7.958;176;8.134
11/08/2016;2.865,90;45.179,97;48.045,87;2.001,91;7.917;242;8.159
12/08/2016;2.757,27;46.005,03;48.762,30;2.031,76;6.981;274;7.255
13/08/2016;2.228,58;46.737,56;48.966,14;2.040,26;5.006;313;5.319
14/08/2016;2.308,48;44.966,38;47.274,86;1.969,79;4.670;446;5.116
15/08/2016;2.306,70;47.349,73;49.656,43;2.069,02;4.900;350;5.250
16/08/2016;2.708,52;45.883,83;48.592,35;2.024,68;7.281;248;7.529
17/08/2016;2.801,55;45.514,81;48.316,36;2.013,18;7.684;222;7.906
18/08/2016;2.858,50;45.896,96;48.755,46;2.031,48;7.938;248;8.186
19/08/2016;2.715,62;46.838,40;49.554,02;2.064,75;7.511;232;7.743
20/08/2016;2.512,25;47.385,75;49.898,00;2.079,08;5.734;316;6.050
21/08/2016;2.491,67;45.715,25;48.206,92;2.008,62;5.559;346;5.905
22/08/2016;2.944,42;47.627,01;50.571,43;2.107,14;8.074;175;8.249
23/08/2016;3.006,45;46.914,81;49.921,26;2.080,05;8.486;208;8.694
24/08/2016;3.145,97;46.965,30;50.111,27;2.087,97;9.022;189;9.211
25/08/2016;3.221,47;46.595,05;49.816,52;2.075,69;8.997;264;9.261
26/08/2016;3.005,93;46.368,23;49.374,16;2.057,26;8.347;201;8.548
27/08/2016;2.830,50;45.989,36;48.819,86;2.034,16;6.995;335;7.330
28/08/2016;2.833,17;44.166,97;47.000,14;1.958,34;6.440;323;6.763
29/08/2016;3.111,72;47.334,05;50.445,77;2.101,91;9.150;143;9.293
30/08/2016;3.330,43;45.724,22;49.054,65;2.043,94;10.101;102;10.203
31/08/2016;3.587,40;45.511,15;49.098,55;2.045,77;10.620;140;10.760
01/09/2016;3.540,80;44.650,98;48.191,78;2.007,99;10.902;103;11.005
02/09/2016;3.676,35;44.232,62;47.908,97;1.996,21;10.929;133;11.062
03/09/2016;3.183,57;44.825,12;48.008,69;2.000,36;8.299;301;8.600
04/09/2016;3.097,63;42.711,20;45.808,83;1.908,70;7.918;326;8.244
05/09/2016;3.363,28;43.966,85;47.330,13;1.972,09;10.457;122;10.579
06/09/2016;3.615,83;42.922,96;46.538,79;1.939,12;10.900;113;11.013
07/09/2016;3.689,58;42.625,33;46.314,91;1.929,79;11.180;79;11.259
08/09/2016;3.769,20;42.719,27;46.488,47;1.937,02;11.271;124;11.395
09/09/2016;3.840,80;42.690,03;46.530,83;1.938,78;10.818;143;10.961
10/09/2016;3.155,25;42.684,18;45.839,43;1.909,98;7.986;322;8.308
11/09/2016;3.135,48;40.164,53;43.300,01;1.804,17;7.561;254;7.815
12/09/2016;3.197,17;41.799,83;44.997,00;1.874,88;9.547;138;9.685
13/09/2016;2.608,62;41.751,40;44.360,02;1.848,33;8.038;68;8.106
14/09/2016;3.130,43;42.827,35;45.957,78;1.914,91;9.250;119;9.369
15/09/2016;3.557,27;42.388,03;45.945,30;1.914,39;9.822;111;9.933
16/09/2016;3.419,32;41.613,33;45.032,65;1.876,36;9.489;151;9.640
17/09/2016;2.900,40;41.457,53;44.357,93;1.848,25;7.231;223;7.454
18/09/2016;2.943,95;39.825,80;42.769,75;1.782,07;6.608;298;6.906
19/09/2016;2.853,03;41.355,93;44.208,96;1.842,04;7.927;102;8.029
20/09/2016;3.044,22;39.766,75;42.810,97;1.783,79;8.729;79;8.808
21/09/2016;3.123,57;39.353,33;42.476,90;1.769,87;8.844;61;8.905
22/09/2016;3.193,15;39.421,97;42.615,12;1.775,63;9.017;94;9.111
23/09/2016;2.886,17;38.541,71;41.427,88;1.726,16;8.376;97;8.473
24/09/2016;2.660,00;36.838,30;39.498,30;1.645,76;6.482;256;6.738
25/09/2016;2.629,27;32.760,06;35.389,33;1.474,56;5.744;251;5.995
26/09/2016;2.246,87;32.013,27;34.260,14;1.427,51;6.235;96;6.331
27/09/2016;2.727,80;34.602,53;37.330,33;1.555,43;7.711;63;7.774
28/09/2016;2.858,55;36.441,75;39.300,30;1.637,51;8.287;66;8.353
29/09/2016;3.043,12;37.223,68;40.266,80;1.677,78;8.435;76;8.511
30/09/2016;3.176,85;39.455,85;42.632,70;1.776,36;8.666;130;8.796
01/10/2016;2.945,53;39.120,90;42.066,43;1.752,77;7.095;278;7.373
02/10/2016;3.165,25;36.469,40;39.634,65;1.651,44;6.776;364;7.140
03/10/2016;2.806,63;39.039,35;41.845,98;1.743,58;7.939;91;8.030
04/10/2016;3.096,10;38.789,58;41.885,68;1.745,24;8.591;75;8.666
05/10/2016;2.924,67;36.514,25;39.438,92;1.643,29;8.769;51;8.820
06/10/2016;3.141,40;38.471,41;41.612,81;1.733,87;9.075;87;9.162
07/10/2016;3.233,45;39.731,57;42.965,02;1.790,21;8.685;154;8.839
08/10/2016;2.943,97;39.950,51;42.894,48;1.787,27;6.880;347;7.227
09/10/2016;2.618,65;38.837,70;41.456,35;1.727,35;6.069;336;6.405
10/10/2016;2.514,57;38.568,55;41.083,12;1.711,80;7.264;110;7.374
11/10/2016;2.785,22;38.464,18;41.249,40;1.718,73;7.991;81;8.072
12/10/2016;1.068,15;26.979,51;28.047,66;1.168,65;2.717;22;2.739
13/10/2016;1596,13;36.994,20;38.590,33;1607,93;4.475;35;4.510
14/10/2016;2.266,23;35.503,70;37.769,93;1.573,75;6.129;49;6.178
15/10/2016;2.097,00;34.349,06;36.446,06;1.518,59;5.144;144;5.288
16/10/2016;1.964,38;29.788,70;31.753,08;1.323,05;4.368;180;4.548
