ServiceTypeLabel,StreetAddress,GeoX,GeoY,AccessibleCategory,BabyChange,FamilyToilet,ChangingPlace,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,Postcode
Public toilets,"Ballards Lane, Finchley Central, London",525239,190735,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated near Finchley Central Tube Station,N3
Public toilets,"Bell Lane, Hendon, London",523426,189016,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated at junction with Brent Street,NW4
Public toilets,"Watling Avenue, Edgeware, London",520357,190939,female and male,yes,no,no,"opening_hours=Mo,Tu,We,Fr,Sa 09:00-17:00; Th 09:00-20:00; Su off",Servest Contract Cleaning,burnt.oak.library@barnet.gov.uk,2083593880,Library Toilets,HA08 OUB
Public toilets,"Cat Hill, East Barnet, Hertfordshire",527200,195407,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated near junction with Brookside,EN4
Public toilets,"3 Stapylton Road, Barnet",524331,196747,female and male,yes,no,no,"opening_hours=Mo 10:00-20:00; Tu,Th,Sa 09:30-17:00; We,Fr 09:30-20:00; Su 14:00-17:00",Servest Contract Cleaning,chipping.barnet.library@barnet.gov.uk,2083594040,Library Toilets,EN5 4QT
Public toilets,"24 Hendon Lane, Finchley",524942,190563,unisex,yes,no,no,"opening_hours=Mo 09:30-20:00; Tu,Th-Sa 09:30-17:00; We 10:00-20:00; Su off",Servest Contract Cleaning,church.end.library@barnet.gov.uk,2083593800,Library Toilets,N3 1TR
Public toilets,"85 Brookhill Road, East Barnet",527317,195571,unisex,no,no,no,"opening_hours=Mo,We,Fr,Sa 09:30-17:00; Tu 09:30-20:00; Th 10:00-20:00; Su off",Servest Contract Cleaning,east.barnet.library@barnet.gov.uk,2083593860,Library Toilets,EN4 8SG
Public toilets,226 High Road,527035,190045,unisex,no,no,no,"opening_hours=Mo,Th,Sa 09:30-17:00; We 09:30-20:00; Fr 10:00-17:00; Tu,Su off",Servest Contract Cleaning,east.finchley.library@barnet.gov.uk,2083593815,Library Toilets,N2 9BB
Public toilets,"Hale Lane, Edgware, London",519534,192232,unisex,yes,no,no,"opening_hours=Mo,We,Fr,Sa 09:30-17:00; Tu 09:30-20:00; Th 10:00-20:00; Su 14:00-17:00",Servest Contract Cleaning,edgware.library@barnet.gov.uk,2083592626,Library Toilets,HA8 8NN
Public toilets,"Friary Road, Friern Barnet",527321,192742,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,N12
Public toilets,"Friern Barnet Road, Friern Barnet, London,",523133,188603,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated at Friern Barnet Road junction with Friern Barnet Lane,N11
Public toilets,The Burroughs,526408,188824,unisex,yes,no,no,"opening_hours=Mo,We 09:30-20:00; Tu,Fr-Sa 09:30-17:00; Th 10:00-20:00; Su 14:00-17:00",Servest Contract Cleaning,hendon.library@barnet.gov.uk,2083592628,Library Toilets,NW4 4BQ
Public toilets,"Queens Road, West Hendon",523133,188603,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,NW4
Public toilets,"High Road, Totteridge, London,",527940,194488,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated near Waitrose,N20
Public toilets,"Kingsley Way, Hampstead Garden Suburb",526408,188824,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,N2
Public toilets,Hartley Avenue,525803,191190,unisex,yes,no,no,"opening_hours= Tu 09:30-20:00;  Mo,Fr-Sa 09:30-17:00; Th 10:00-20:00; We,Su off",Servest Contract Cleaning,mill.hill.library@barnet.gov.uk,2083593830,Library Toilets,NW7 2HX
Public toilets,"Daws Lane, Mill Hill",527321,192742,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,NW7
Public toilets,Ravensdale Avenue,523133,188603,unisex,yes,no,no,"opening_hours= Tu,Fr 09:30-20:00;  Mo,Sa 09:30-17:00; Th 10:00-17:00; We,Su off",Servest Contract Cleaning,north.finchley.library@barnet.gov.uk,2083593845,Library Toilets,N12 9HP
Public toilets,"Parkside Gardens, East Barnet",527940,194488,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,EN4
Public toilets,Brunswick Park Road,523133,188603,unisex,yes,no,no,"opening_hours= Tu 09:30-20:00;  Mo,Fr 09:30-17:00; We 10:00-17:00; Th,Su off; Sa 09:30-13:00, 14:00-15:00",Servest Contract Cleaning,osidge.library@barnet.gov.uk,2083593920,Library Toilets,N11 1EY
Public toilets,"Oakfield Road, Golders Green",524409,188483,,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,NW11
Public toilets,Colney Hatch Lane,525803,191190,unisex,yes,no,no,"opening_hours=Mo,Tu,Th,Sa 09:30-13:00, 14:00-17:00; We 10:00-13:00, 14:00-20:00; Fr,Su off",Servest Contract Cleaning,south.friern.library@barnet.gov.uk,2083593946,Library Toilets,N10 1HD
Public toilets,"Stanhope Road, London,",526408,188824,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated near junction with High Road,N12
Public toilets,"Ballards Lane, Finchley Central",525803,191190,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,N3
Public toilets,"Watling Avenue, Burnt Oak, Edgeware, Middlesex",523133,188603,unisex,yes,yes,yes,opening_hours=24/7,jc decaux,highways.correspondence@barnet.gov.uk,2083592000,Situated outside Burnt Oak Library near junction with Orange Hill Road,HA8
Public toilets,Brompton Grove,527439,189122,unisex,no,no,no,opening_hours=08:00-(sunset),Servest Contract Cleaning,parks@barnet.gov.uk,2083594600,Park Toilets,NW11
