Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.5319519867171,0.00372337109717115,"3",E15 3NB
Abbey Wood,547297,179002,51.4907840957031,0.120271969782359,"4",SE2 9RH
Acton,520296,181196,51.5168869310483,-0.267689952184077,"3",W3 0BP
Acton Central,520613,180299,51.5087577801896,-0.263430199363473,"2",W3 6BD
Acton Town,519457,179639,51.5030714429635,-0.28030270140601,"3",W3 8HN
Addington Village,537082,163744,51.3562385904301,-0.032665100391443,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.3798082895941,-0.0732132828267587,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.4358156062277,0.126444637772442,"5",DA5 3HP
Aldgate,533629,181246,51.5143423787415,-0.0756269126501567,"1",EC3N 1AH
Aldgate East,533809,181333,51.5150816226404,-0.0730014627258136,"1",E1 7PT
Alexandra Palace,530300,190498,51.5982628226497,-0.120148972194536,"3",N22 7ST
All Saints,538012,180933,51.5104769244406,-0.0126248853684833,"2",E14 0EH
Alperton,518025,183849,51.5412092743614,-0.299515758699207,"4",HA0 4LL
Amersham,496454,198181,51.6741293179421,-0.606513789355774,"9",HP6 5AZ
Ampere Way,530674,166476,51.382299420009,-0.123636799345144,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.4125167179024,-0.0651371001212532,"4",SE20 8AG
Angel,531497,183263,51.5329680156891,-0.105581448946398,"1",N1 8XB
Angel Road,535204,192202,51.61242031959,-0.0487329193735463,"4",N18 3AY
Archway,529356,186827,51.5654905340774,-0.135121576677549,"2,3",N19 5RQ
Arena,535192,167620,51.3915227519768,-0.0583185500805117,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.6162301416802,-0.134270218764562,"4",N11 1AN
Arsenal,531429,186107,51.5585413757193,-0.105499933602789,"2",N5 1LP
Avenue Road,535764,169335,51.4067979827442,-0.0494469371121275,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.5231296204391,-0.15690419441262,"1",NW1 5LA
Balham,528482,173195,51.4431825620326,-0.152685163343656,"3",SW12 9SG
Bank,532704,181111,51.513347062296,-0.0890001239496697,"1",EC3V 3LA
Banstead,524590,160426,51.3292931229522,-0.213132336180543,"6",SM7 1RB
Barbican,532079,181859,51.5202152835411,-0.0977215786403087,"1",EC1A 4JA
Barking,544405,184343,51.5395211133413,0.0808316100128655,"4",IG11 8TU
Barkingside,544788,189510,51.5858506139378,0.0884766396392107,"4",IG6 1NB
Barnehurst,550206,176193,51.4647802868859,0.160948022415047,"6",DA7 6HQ
Barnes,522209,175705,51.4671277727085,-0.242033062031602,"3",SW13 0LW
Barnes Bridge,521478,176255,51.4722280526837,-0.252362617035817,"3",SW13 0NR
Barons Court,524133,178322,51.4902286819759,-0.213430145064537,"2",W14 9DP
Battersea Park,528703,176999,51.477318323121,-0.148123761663195,"2",SW8 4NB
Bayswater,525845,180799,51.5121112883667,-0.187901573927441,"1",W2 4QH
Beckenham Hill,538002,171379,51.424626057957,-0.0164957619832815,"4",SE6 3NU
Beckenham Junction,537403,169840,51.4109416413761,-0.0257017391507886,"4",BR3 1HY
Beckenham Road,536177,169650,51.4095297483599,-0.043391922075085,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.514376629554,0.0615252969323279,"3",E6 5NT
Beckton Park,542697,180887,51.5089007937122,0.0548219388642393,"3",E6 5NE
Becontree,547598,184442,51.5395854092624,0.12688029173904,"5",RM9 4TP
Beddington Lane,529367,167215,51.3892398819207,-0.142138434359917,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.4009616463905,-0.178496474053518,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.4338648934564,-0.0204117703162584,"3",SE6 3BT
Belmont,525500,162098,51.3441199245649,-0.199489253183986,"5",SM2 6BH
Belsize Park,527399,185075,51.5501908776835,-0.163974492584094,"2",NW3 2AL
Belvedere,549498,179197,51.491959003102,0.152033791924652,"5",DA17 6JW
Bermondsey,534461,179445,51.4979607802573,-0.0643300900477039,"2",SE16 4RX
Berrylands,519728,168040,51.3987684060459,-0.280321477458493,"5",KT5 8LT
Bethnal Green,534995,182712,51.527191741205,-0.0553921116245381,"2",E2 0ET
Bethnal Green Rail,534683,182380,51.5242827393666,-0.0600137426043104,"2",E2 6JL
Bexley,549399,173502,51.4408145305372,0.148203912973033,"6",DA5 1AQ
Bexleyheath,548294,176000,51.4635499575874,0.13336296501856,"5",DA7 4AA
Bickley,542304,168799,51.4003795691873,0.0443040315807173,"5",BR1 2EB
Birkbeck,535297,168996,51.4038630943054,-0.0562862357203351,"4",BR3 4TA
Blackfriars,531738,180890,51.5115869277802,-0.102995385235787,"1",EC4V 4DD
Blackheath,539604,175961,51.4654080109124,0.00833659470766039,"3",SE3 9LE
Blackhorse Lane,534362,166844,51.3847461833949,-0.0705339478990595,"3,4,5,6",CR0 6NL
Blackhorse Road,535914,189256,51.5857766270677,-0.0396257115532134,"3",E17 6JJ
Blackwall,538394,180649,51.5078315405334,-0.00723516588004438,"2",E14 9QB
