id,title,link,description,category,lastUpdated,icon,style,geometry
"http://www.zaragoza.es/api/recurso/poi/contenido-n1197212307","Saneamiento y Depuración: Ecociudad Agua. ¿Quienes Somos?","http://www.zaragoza.es/ciudad/saneamiento/anuncio.htm","Información sobre la empresa responsable del saneamiento y depuración del agua en la ciudad: Ecociudad Valdespartera Zaragoza S.A.","La Ciudad",2013-06-16T00:00:00Z,"","","483282.0 5454818.0"
"http://www.zaragoza.es/api/recurso/poi/contenido-459951775","Policía Zaragoza. Educación Vial","http://www.zaragoza.es/ciudad/policia/educavial.htm","Programa de Educación Vial","Policía",2007-04-24T00:00:00Z,"","","483282.0 5454818.0"
"http://www.zaragoza.es/api/recurso/poi/monumento-94","Centro de Historias de Zaragoza. Antiguo Convento de San Agustín","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=94","<p>Plaza San Agustín, 2  Horario:Martes a sábado de 10 a 14h y 17 a 21h
Domingos 10 a 14.30h 
Lunes cerrado

Media hora antes del cierre se interrumpe la entrada. Teléfono:976 72 18 85</p>","Monumentos, Turismo",2014-09-19T00:00:00Z,"","","677408.53 4613410.17"
"http://www.zaragoza.es/api/recurso/poi/monumento-26","Casa de los Morlanes","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=26","<p>Plaza de San Carlos, 4  Teléfono:976 72 18 00</p>","Monumentos, Turismo",2014-09-19T00:00:00Z,"","","676999.67 4613489.75"
"http://www.zaragoza.es/api/recurso/poi/monumento-892","Azud del Río Ebro","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=892","<p>entre los barrios de Vadorrey y Las Fuentes</p>","Monumentos, Turismo",2014-09-01T00:00:00Z,"","","678492.63 4613498.5"
"http://www.zaragoza.es/api/recurso/poi/monumento-10","Arco y casa del Deán","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=10","<p>C/ del Deán, 5  Teléfono:976 76 76 76 (Ibercaja)</p>","Monumentos, Turismo",2014-11-20T00:00:00Z,"","","677043.0 4613780.57"
"http://www.zaragoza.es/api/recurso/poi/monumento-82","Plaza de Toros de la Misericordia","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=82","<p>Glorieta de Aznárez, s/n  Horario:Ferias Taurinas Teléfono:976 43 02 29 -  976 43 86 22</p>","Monumentos, Turismo",2014-09-10T00:00:00Z,"","","675711.66 4613775.91"
"http://www.zaragoza.es/api/recurso/poi/monumento-72","Edificio de Correos y Telégrafos","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=72","<p>Paseo de la Independencia, 33</p>","Monumentos, Turismo",2014-09-11T00:00:00Z,"","","676352.46 4613204.69"
"http://www.zaragoza.es/api/recurso/poi/monumento-13","Baños Judíos","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=13","<p>Coso, 126 -132  Horario:Actualmente no se pueden visitar</p>","Monumentos, Turismo",2014-09-11T00:00:00Z,"","","677030.4 4613407.72"
"http://www.zaragoza.es/api/recurso/poi/monumento-166","Barrio de la Cartuja. Antiguas Escuelas","http://www.zaragoza.es/ciudad/turismo/es/que-visitar/detalle_Monumento?id=166","<p>C/ Salduba , angular a c/ Escuelas 50193. Barrio de La Cartuja</p>","Monumentos, Turismo",2014-09-11T00:00:00Z,"","","681563.61 4608487.46"
