CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,URBAN_STR,DECADE,SRG,CONTACT,EMAIL,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,EVN,EVANSTON,NORTH,NEW SUBURBS,BUILDING OUT,DEVELOPING,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,,2650,1044,399,1701,890,1002,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,873,852,2542,5,119,0,0,69,360,202,259,25,1360,1290,176,175,43,66,484,261,100,29,19,7,165,165,31,72,499,199,95,35,16,13,341,340,74,138,983,460,195,64,35,20,5047842.75117000000,11354.03355950000
Industrial,2,ST3,STONEY 3,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,,13,9,0,7,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,12,1,0,0,0,2,2,1,1,0,6,7,0,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0,2,1,1,0,0,0,3,2,0,1,3,1,2,1,6113858.26993000000,12019.74370680000
Industrial,2,ST1,STONEY 1,NORTH,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,Y,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6132274.22661000000,14266.67272900000
Residential,1,PAN,PANORAMA HILLS,NORTH,NEW SUBURBS,BUILDING OUT,DEVELOPING,Deborah Cooper,Deborah.Cooper@calgary.ca,2006,,10277,3562,1246,5991,3137,2937,118,1,414,88,2,2,0,0,0,0,0,0,0,2,412,391,643,0,0,0,0,2,0,5,0,0,0,0,118,115,265,0,0,0,0,2,0,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,6,64,64,138,0,18,0,13,2629,2566,9220,13,280,2,0,359,874,640,1161,194,5121,5156,503,790,286,291,913,1135,694,319,127,63,485,785,283,314,1116,1056,595,293,147,82,988,1575,569,605,2029,2191,1289,612,274,145,6216789.60645000000,11506.84214010000
Residual Sub Area,4,03P,03P,NORTHEAST,GREENFIELD,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,Y,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637258.70988000000,6497.32889136000
Residual Sub Area,4,02E,02E,NORTHWEST,OTHER,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,,887,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,764,123,0,0,75,111,197,175,150,56,0,0,0,0,23,25,25,20,10,20,0,0,0,0,98,136,222,195,160,76,0,0,3797207.22401000000,8024.08731305000
Residual Sub Area,4,02F,02F,NORTHWEST,OTHER,NON RESIDENTIAL,N/A,Scott Lockwood,scott.lockwood@calgary.ca,2006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145184.72209000000,7009.25075962000
Industrial,2,ST2,STONEY 2,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Doug MacDonald,Doug.MacDonald@calgary.ca,2006,Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537965.88168000000,11284.84209020000
Residential,1,CHV,COUNTRY HILLS VILLAGE,NORTH,NEW SUBURBS,BUILDING OUT,DEVELOPING,Deborah Cooper,Deborah.Cooper@calgary.ca,2006,,1269,757,26,569,544,0,0,0,574,182,0,0,0,0,0,1,0,0,0,8,548,384,823,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124,0,0,0,1,180,160,322,1,0,0,0,0,0,0,0,0,0,1,367,321,27,12,2,498,771,10,8,1,16,99,65,42,66,73,118,12,9,11,36,125,52,74,102,101,249,22,17,12,52,224,117,116,168,174,367,952023.57667800000,4008.22925478000
Residential,1,PKD,PARKDALE,CENTRE,INNER SUBURBS,1950s,BUILT-OUT,Laura Weckman,Laura.Weckman@calgary.ca,2006,,2136,1104,86,1108,446,531,83,24,294,22,0,148,0,0,1,1,0,0,0,0,274,43,329,1,19,0,0,124,4,193,6,0,18,0,67,45,158,2,14,0,0,0,0,0,0,0,0,0,24,4,37,0,0,0,0,2,0,235,0,0,0,0,18,8,31,0,4,0,0,499,342,1153,19,11,2,2,459,331,115,95,8,1067,1069,35,79,43,97,187,147,125,62,45,247,37,56,30,105,199,128,129,73,52,260,72,135,73,202,386,275,254,135,97,507,1050300.50110000000,5240.32401000000
