Community Name,Project Number,Job Created Year (YYYY),Permit Number,POSSE Job Type,Status Description,Est Construction Values,Construction Area ( Square Footage),Job Created Date (YYYY/MM/DD),Permit Issue Date (YYYY/MM/DD),Job Compltd Date (YYYY/MM/DD),Permit Duration ,SCP Process times
ACADIA,PDA2016-01331,2016,BP2016-07432,Single Construction Permit,Pre Board Phase,"$323,962","1,816.0000",6/30/2016,7/26/2016,12/31/9999,82,15
ACADIA,,2015,BP2015-13119,Single Construction Permit,Completed,"$301,952","2,180.0000",10/6/2015,10/23/2015,3/17/2016,163,13
ALBERT PARK/RADISSON HEIGHTS,,2015,BP2015-08349,Single Construction Permit,Re-instated,"$124,691","1,738.0000",7/7/2015,7/27/2015,12/31/9999,441,14
ALBERT PARK/RADISSON HEIGHTS,,2015,BP2015-08351,Single Construction Permit,Re-instated,"$124,691","1,738.0000",7/7/2015,7/27/2015,12/31/9999,441,14
ALBERT PARK/RADISSON HEIGHTS,,2015,BP2015-09884,Single Construction Permit,Pre Board Phase,"$250,953","2,943.0000",8/4/2015,8/20/2015,12/31/9999,413,5
ALBERT PARK/RADISSON HEIGHTS,,2015,BP2015-09885,Single Construction Permit,Pre Board Phase,"$250,953","2,943.0000",8/4/2015,8/20/2015,12/31/9999,413,5
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-05275,Single Construction Permit,Pre Board Phase,"$248,799",,5/19/2016,6/10/2016,12/31/9999,124,16
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-05278,Single Construction Permit,Pre Board Phase,"$248,799",,5/19/2016,6/10/2016,12/31/9999,124,16
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-06016,Single Construction Permit,Pre Backfill Phase,"$128,839",,6/2/2016,6/23/2016,12/31/9999,110,13
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-06017,Single Construction Permit,Pre Backfill Phase,"$128,839",,6/2/2016,6/23/2016,12/31/9999,110,13
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-10337,Single Construction Permit,Pending Plans Review,"$129,515",,9/1/2016,12/31/9999,12/31/9999,19,8
ALBERT PARK/RADISSON HEIGHTS,,2016,BP2016-10339,Single Construction Permit,Pending Plans Review,"$129,515",,9/1/2016,12/31/9999,12/31/9999,19,8
ALTADORE,PDA2015-01663,2015,BP2015-10926,Single Construction Permit,Completed,"$236,633","2,884.0000",8/21/2015,9/2/2015,6/22/2016,306,3
ALTADORE,PDA2015-01663,2015,BP2015-10927,Single Construction Permit,Completed,"$237,283","2,901.0000",8/21/2015,9/2/2015,6/22/2016,306,3
ALTADORE,PDA2015-02486,2015,BP2015-16078,Single Construction Permit,Pre Board Phase,"$737,342","4,300.0000",12/19/2015,1/28/2016,12/31/9999,276,27
ALTADORE,PDA2016-00736,2016,BP2016-08478,Single Construction Permit,Pre Backfill Phase,"$252,689","1,928.0000",7/22/2016,8/16/2016,12/31/9999,60,15
ALTADORE,PDA2016-00736,2016,BP2016-08480,Single Construction Permit,Pre Backfill Phase,"$245,397","1,927.0000",7/22/2016,8/16/2016,12/31/9999,60,15
ALTADORE,,2015,BP2015-00584,Single Construction Permit,Completed,"$369,197","3,296.0000",1/20/2015,2/11/2015,1/11/2016,356,18
ALTADORE,,2015,BP2015-00699,Single Construction Permit,Completed,"$350,983","3,969.6200",1/22/2015,3/13/2015,9/16/2016,603,15
ALTADORE,,2015,BP2015-00700,Single Construction Permit,Completed,"$343,307","3,891.2400",1/22/2015,3/13/2015,9/16/2016,603,15
ALTADORE,,2015,BP2015-01021,Single Construction Permit,Completed,"$470,673","4,631.0000",1/30/2015,3/2/2015,3/17/2016,412,17
ALTADORE,,2015,BP2015-01199,Single Construction Permit,Completed,"$246,698","2,949.0000",2/4/2015,3/4/2015,3/14/2016,404,14
ALTADORE,,2015,BP2015-01200,Single Construction Permit,Completed,"$251,221","3,001.0000",2/4/2015,3/4/2015,3/14/2016,404,14
ALTADORE,,2015,BP2015-02081,Single Construction Permit,Completed,"$292,524","3,249.6700",2/26/2015,3/26/2015,6/23/2016,483,7
ALTADORE,,2015,BP2015-02085,Single Construction Permit,Completed,"$307,768","3,391.6700",2/26/2015,3/26/2015,7/8/2016,498,7
ALTADORE,,2015,BP2015-02615,Single Construction Permit,Completed,"$250,283","2,912.5000",3/12/2015,3/27/2015,10/30/2015,232,9
ALTADORE,,2015,BP2015-02616,Single Construction Permit,Completed,"$245,754","2,912.5000",3/12/2015,3/27/2015,1/7/2016,301,10
ALTADORE,,2015,BP2015-02888,Single Construction Permit,Pre Board Phase,"$404,883","3,813.0000",3/19/2015,4/20/2015,12/31/9999,551,4
ALTADORE,,2015,BP2015-04946,Single Construction Permit,Completed,"$462,836","4,663.0000",5/1/2015,5/27/2015,6/2/2016,398,12
ALTADORE,,2015,BP2015-05694,Single Construction Permit,Completed,"$512,828","4,823.0000",5/19/2015,5/27/2015,2/4/2016,261,5
ALTADORE,,2015,BP2015-05901,Single Construction Permit,Final Phase,"$405,577","3,930.0000",5/22/2015,6/10/2015,12/31/9999,487,7
ALTADORE,,2015,BP2015-05903,Single Construction Permit,Final Phase,"$406,362","3,943.0000",5/22/2015,6/10/2015,12/31/9999,487,10
ALTADORE,,2015,BP2015-06001,Single Construction Permit,Pre Board Phase,"$562,609","4,955.0000",5/25/2015,6/18/2015,12/31/9999,484,7
ALTADORE,,2015,BP2015-06090,Single Construction Permit,Completed,"$419,898","3,473.0000",5/26/2015,6/11/2015,7/21/2016,422,6
ALTADORE,,2015,BP2015-06093,Single Construction Permit,Completed,"$431,688","3,554.0000",5/26/2015,6/10/2015,7/21/2016,422,11
ALTADORE,,2015,BP2015-06671,Single Construction Permit,Completed,"$375,148","3,495.0000",6/5/2015,6/19/2015,3/30/2016,299,11
ALTADORE,,2015,BP2015-06724,Single Construction Permit,Final Phase,"$404,278","3,867.0000",6/8/2015,7/22/2015,12/31/9999,470,18
ALTADORE,,2015,BP2015-06748,Single Construction Permit,Completed,"$413,443","3,622.0000",6/8/2015,6/24/2015,4/27/2016,324,12
ALTADORE,,2015,BP2015-06944,Single Construction Permit,Completed,"$412,208","3,278.0000",6/10/2015,7/21/2015,6/2/2016,358,6
ALTADORE,,2015,BP2015-06946,Single Construction Permit,Completed,"$410,940","3,277.0000",6/10/2015,7/7/2015,6/2/2016,358,19
ALTADORE,,2015,BP2015-07419,Single Construction Permit,Completed,"$224,138","2,614.0000",6/19/2015,7/20/2015,4/7/2016,293,22
ALTADORE,,2015,BP2015-07420,Single Construction Permit,Completed,"$223,686","2,594.0000",6/19/2015,7/20/2015,6/1/2016,348,22
ALTADORE,,2015,BP2015-07653,Single Construction Permit,Pre Board Phase,"$737,439","6,880.0000",6/24/2015,7/21/2015,12/31/9999,454,17
ALTADORE,,2015,BP2015-10264,Single Construction Permit,Pre Board Phase,"$428,769","3,959.0000",8/11/2015,9/16/2015,12/31/9999,406,11
ALTADORE,,2015,BP2015-10505,Single Construction Permit,Completed,"$207,658","1,916.4400",8/14/2015,9/2/2015,8/12/2016,364,9
ALTADORE,,2015,BP2015-10507,Single Construction Permit,Completed,"$206,932","1,906.8900",8/14/2015,9/2/2015,6/8/2016,299,9
ALTADORE,,2015,BP2015-10653,Single Construction Permit,Completed,"$578,218","5,187.9999",8/18/2015,9/21/2015,6/7/2016,294,27
