CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,URBAN_STR,DECADE,SRG,CONTACT,EMAIL,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,REN,RENFREW,CENTRE,INNER CITY,1950s,BUILT-OUT,Vern Hart,Vern.Hart@calgary.ca,2005,,5454,3124,302,0,1647,1536,129,4,651,379,0,419,0,4,1,1,0,0,0,1,540,231,805,110,0,0,1,326,9,473,84,0,8,0,115,53,258,8,6,0,0,0,0,0,0,0,0,0,4,2,11,0,0,0,0,6,1,19,0,0,0,0,368,277,733,11,0,0,8,1459,1074,3155,60,9,0,6,1113,1101,360,225,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2658624.38528000000,7948.22241460000
Residential,1,ABB,ABBEYDALE,NORTHEAST,RECENT SUBURBS,1980s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,6040,2003,544,0,1497,1420,290,0,0,230,0,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,1,84,8,0,12,0,280,216,816,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,215,105,656,15,0,0,0,1384,1175,4457,36,0,0,1,223,513,443,644,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668248.73632000000,5745.72531285000
Residential,1,MRL,MARLBOROUGH,NORTHEAST,ESTABLISHED SUBURBS,1970s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,8391,3081,627,0,2144,2261,126,0,378,192,0,124,0,0,0,0,0,0,0,1,343,0,650,34,0,0,1,105,13,213,16,0,2,0,123,82,376,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,131,529,1,0,0,1,2214,1918,6623,45,1,0,0,460,1102,576,679,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654747.52367000000,6656.11476513000
Industrial,2,FRA,FRANKLIN,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,Y,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464543.54816000000,5267.41926306000
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,ESTABLISHED SUBURBS,1960s,BUILT-OUT,Cliff DeJong,cliff.dejong@calgary.ca,2005,,5901,2728,323,0,1531,1308,318,12,621,286,0,181,0,0,1,0,0,1,0,0,589,225,946,32,0,0,0,153,11,249,25,0,3,0,304,134,727,13,0,1,0,0,0,0,0,0,0,0,11,0,21,1,0,0,0,1,0,1,1,0,0,0,263,14,655,23,0,0,1,1291,1147,3302,16,0,0,2,763,1014,398,409,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021813.73766000000,6234.85937781000
Industrial,2,MER,MERIDIAN,NORTHEAST,NORTHEAST INDUSTRIAL,NON RESIDENTIAL,N/A,Cliff DeJong,cliff.dejong@calgary.ca,2005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382365.49136000000,5945.49283239000
Residual Sub Area,4,10A,10A,EAST,RESIDUAL,NON RESIDENTIAL,N/A,Emile Takla,Emile.Takla@calgary.ca,2005,,670,311,56,0,284,4,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294,281,654,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,70,138,50,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054961.09165000000,7727.89625789000
Residential,1,PKD,PARKDALE,CENTRE,INNER SUBURBS,1950s,BUILT-OUT,Paul Donker,paul.donker@calgary.ca,2005,,2048,1087,81,0,436,545,72,24,275,18,0,151,0,0,1,1,0,0,0,0,266,43,313,9,0,0,0,125,4,186,26,0,0,0,60,36,136,4,8,0,0,0,0,0,0,0,0,0,22,4,29,2,0,0,0,2,1,201,0,0,0,0,17,7,31,1,0,0,1,498,341,1152,28,18,0,2,456,329,108,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050300.49602000000,5240.32386571000
Residential,1,COA,COACH HILL,WEST,RECENT SUBURBS,1980s,BUILT-OUT,Norah Li,norah.li@calgary.ca,2005,,3338,1481,193,0,1234,634,104,0,237,506,0,0,0,0,0,0,0,0,0,1,225,127,353,11,0,0,0,0,0,0,0,0,0,0,102,93,205,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,395,957,7,1,0,0,626,619,1823,8,0,0,0,431,524,233,240,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076091.99182000000,4831.20981807000
Residential,1,WHL,WEST HILLHURST,CENTRE,INNER CITY,1940s,BUILT-OUT,Vern Hart,Vern.Hart@calgary.ca,2005,,5466,2808,359,0,1488,1582,428,11,341,142,0,295,0,8,0,0,0,1,0,1,320,59,407,20,0,0,2,255,9,391,29,0,9,0,375,222,884,29,23,1,0,0,0,0,0,0,0,0,10,2,19,1,0,0,0,9,3,137,0,0,0,0,138,75,254,1,3,0,2,1503,1118,3374,64,13,0,9,955,974,363,305,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362234.98994000000,7089.65905729000
