wave,q1,q2,q3a1,q10x_01,q10x_04,,,,,
1,Called in the past,To request a City service,(DK/NS),NA,NA,,,,,
1,First time,To request a City service,(DK/NS),NA,NA,,,,,
1,Called in the past,To follow up on the status of a service that you requested,(DK/NS),NA,NA,,,,,
1,Called in the past,Other,(DK/NS),NA,NA,,,,,
1,First time,To request a City service,(DK/NS),NA,NA,,,,,
1,Called in the past,Other,(DK/NS),NA,NA,,,,,
1,First time,To request information,(DK/NS),NA,NA,,,,,
1,Called in the past,To request information,(DK/NS),NA,NA,,,,,
1,Called in the past,To request information,(DK/NS),NA,NA,,,,,
1,Called in the past,To follow up on the status of a service that you requested,(DK/NS),NA,NA,,,,e,f
1,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
1,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Not at all satisfied,Not at all satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,(DK/NS),,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Not at all satisfied,Not at all satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Not very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,No,NA,NA,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Somewhat satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Somewhat satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,First time,To request a City service,Yes,(DK/NS),Somewhat satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Somewhat satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Not at all satisfied,,,,,
1,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
1,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Not applicable,,,,,
1,First time,To request a City service,Yes,Very satisfied,(DK/NS),,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,First time,To request a City service,Yes,Very satisfied,Not applicable,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Not very satisfied,Not at all satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
1,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
