"WORK_ORDER_NUMBER","WORK_ORDER_ACTIVITY_DESC","WORK_ORDER_ADDRESS","WORK_ORDER_INITIATED_DATE","WORK_ORDER_COMPLETED_DATE"
219679,"Signs Field Ops - New Sign Installation Recoverable - Installing a new sign for another City BU","  5 ST SW  ",01/22/2009 13:59:00,01/08/2014 15:13:00
228791,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 14:49:00,07/16/2014 14:28:00
228793,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:00:00,07/16/2014 14:28:00
228800,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:08:00,07/16/2014 14:28:00
228801,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:08:00,07/16/2014 14:28:00
228802,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:09:00,07/16/2014 14:28:00
228803,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:10:00,07/16/2014 14:28:00
228804,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:10:00,07/16/2014 14:28:00
228805,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:11:00,07/16/2014 14:28:00
228806,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:12:00,07/16/2014 14:28:00
228807,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:12:00,07/16/2014 14:28:00
228808,"Area 2, Day, SprCln, Sidewalk and Island [km]","    ",04/13/2009 16:13:00,07/16/2014 14:28:00
227925,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:31:00,07/16/2014 14:27:00
227928,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:32:00,07/16/2014 14:27:00
227932,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:32:00,07/16/2014 14:27:00
227936,"Night, SprCln, Machine Sweeping [m3][ln km]","    ",04/07/2009 15:33:00,07/16/2014 14:27:00
228301,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:36:00,07/16/2014 14:27:00
228302,"Area 3, Day, SprCln, Drip Tank [tonne][ln km]","    ",04/08/2009 11:37:00,07/16/2014 14:27:00
