Facility Type,Borough,Facility Name,Phone,Address,Latitude,Longitude
Child Health Center,Queens,Elmhurst Hospital Center,718-334-4000,"79 01
Elmhurst, NY 11373
",40.73871040256307, -73.87835115518163
Nursing Home,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
",40.712841397447676, -73.98759853472393
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
",40.76197648622593, -73.94999967494499
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
",40.76197648622593, -73.94999967494499
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
",40.712841397447676, -73.98759853472393
Acute Care Hospital,Manhattan,Bellevue Hospital Center,212-562-4141,"462 First Avenue
New York, NY 10016
",40.73962320748018, -73.97657284664467
Acute Care Hospital,Manhattan,Harlem Hospital Center,212-939-1000,"506 Lenox Avenue
New York, NY 10037
",40.814275217501645, -73.9406028312914
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,718-963-8000,"760 Broadway
Brooklyn, NY 11206
",40.70052661478004, -73.94164385876527
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,212-939-8950,"2698 Eighth Avenue
New York, NY 10030
",40.82213997942128, -73.94238974885882
Child Health Center,Queens,Parsons Communicare Clinic,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
",40.71311535449007, -73.79282099978928
Child Health Center,Manhattan,Washington Heights Child Health Care Center,212-795-0880,"600 168th Street
New York, NY 10032
",40.8411278753413, -73.9399616966274
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,718-579-4000,"545 142nd Street
Bronx, NY 10454
",40.8101218640426, -73.9168118463476
Acute Care Hospital,Brooklyn,Coney Island Hospital,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
",40.58664543395709, -73.96583011577816
Child Health Center,Queens,South Queens Community Health Center,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
",40.6769452621142, -73.77530690169215
Child Health Center,Manhattan,Judson Health Center,212-925-5000,"34 Spring Street
New York, NY 10012
",40.72173569231745, -73.9957194126485
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
",40.671899036220196, -73.87831881794278
Child Health Center,Brooklyn,Homecrest Child Health Clinic,718-339-6243,"1601 Avenue
Brooklyn, NY 11229
",40.60123350732056, -73.94436854117521
Acute Care Hospital,Queens,Elmhurst Hospital Center,718-334-4000,"79 01
Elmhurst, NY 11373
",40.73871040256307, -73.87835115518163
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
",40.69514358466528, -73.97623557216579
Child Health Center,Brooklyn,Williamsburg Health Center,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
",40.712103238035546, -73.94399407154296
Acute Care Hospital,Bronx,Lincoln Medical and Mental Health Center,718-579-5000,"234 149th Street
Bronx, NY 10451
",40.81768848404917, -73.92420027148326
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,718-245-7000,"594 Albany Avenue
Brooklyn, NY 11203
",40.660054516809524, -73.93976149574165
Acute Care Hospital,Queens,Queens Hospital Center,718-883-3000,"82 70 164th Street
Jamaica, NY 11432
",40.71311535449007, -73.79282099978928
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,718-317-3000,"460 Brielle Avenue
Staten Island, NY 10314
",40.597953866387, -74.13176632590061
Child Health Center,Manhattan,Sydenham Health Center,212-932-6500,"215 125th Street
New York, NY 10027
",40.809338651191524, -73.94919748407278
Child Health Center,Manhattan,Smith Communicare Health Center,212-346-0500,"60 Madison Street
New York, NY 10038
",40.71196972987868, -73.99754221557811
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,718-387-6407,"118 Roebling Street
Brooklyn, NY 11211
",40.7153676098287, -73.95616582356922
Child Health Center,Staten Island,Stapleton Child Health Clinic,718-390-0712,"111 Canal Street
Staten Island, NY 10304
",40.626576449488084, -74.07699447008653
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,718-761-2060,"2040 Forest Avenue
Staten Island, NY 10303
",40.62609762250995, -74.157474896698
Child Health Center,Brooklyn,Brownsville Child Health Clinic,718-495-7283,"259 Bristol Street
Brooklyn, NY 11212
",40.66491117049781, -73.9114109163207
