year,response,respondents
2009,N/A,40
2009,Very satisfied,542
2009,Somewhat satisfied,236
2009,Not very satisfied,104
2009,Not at all satisfied,79
2010,N/A,29
2010,Very satisfied,583
2010,Somewhat satisfied,225
2010,Not very satisfied,79
2010,Not at all satisfied,84
2011,N/A,45
2011,Very satisfied,563
2011,Somewhat satisfied,242
2011,Not very satisfied,86
2011,Not at all satisfied,65
2012,N/A,36
2012,Very satisfied,628
2012,Somewhat satisfied,235
2012,Not very satisfied,68
2012,Not at all satisfied,33
2013,N/A,26
2013,Very satisfied,632
2013,Somewhat satisfied,249
2013,Not very satisfied,55
2013,Not at all satisfied,40
2014,N/A,47
2014,Very satisfied,1609
2014,Somewhat satisfied,604
2014,Not very satisfied,109
2014,Not at all satisfied,81
2015,N/A,27
2015,Very satisfied,1585
2015,Somewhat satisfied,654
2015,Not very satisfied,112
2015,Not at all satisfied,74
