quarter,private_residential_property_price_index
1975-Q1,8.9
1975-Q2,9.1
1975-Q3,9.1
1975-Q4,9.1
1976-Q1,9.5
1976-Q2,9.5
1976-Q3,9.8
1976-Q4,9.5
1977-Q1,9.5
1977-Q2,9.5
1977-Q3,9.5
1977-Q4,9.1
1978-Q1,9.1
1978-Q2,9.5
1978-Q3,9.5
1978-Q4,9.8
1979-Q1,10.4
1979-Q2,10.9
1979-Q3,11.9
1979-Q4,12.7
1980-Q1,15.1
1980-Q2,17.7
1980-Q3,20.4
1980-Q4,23.9
1981-Q1,30.5
1981-Q2,34.6
1981-Q3,34
1981-Q4,32.2
1982-Q1,32
1982-Q2,32.8
1982-Q3,33.5
1982-Q4,34.6
1983-Q1,36.1
1983-Q2,37.2
1983-Q3,37.5
1983-Q4,37.5
1984-Q1,37.2
1984-Q2,35.5
1984-Q3,34.6
1984-Q4,33.1
1985-Q1,31
1985-Q2,30.2
1985-Q3,28.7
1985-Q4,28.1
1986-Q1,26.3
1986-Q2,23.9
1986-Q3,25.3
1986-Q4,27.9
1987-Q1,28.5
1987-Q2,29.7
1987-Q3,32
1987-Q4,32
1988-Q1,31.4
1988-Q2,32.2
1988-Q3,32.6
1988-Q4,34
1989-Q1,34.5
1989-Q2,35.5
1989-Q3,37.7
1989-Q4,38.3
1990-Q1,40.9
1990-Q2,41.8
1990-Q3,42
1990-Q4,40.3
1991-Q1,42.1
1991-Q2,45.6
1991-Q3,46.8
1991-Q4,47.6
1992-Q1,49.9
1992-Q2,51.8
1992-Q3,53.8
1992-Q4,55.3
1993-Q1,58.3
1993-Q2,64.9
1993-Q3,71.1
1993-Q4,75.1
1994-Q1,82.1
1994-Q2,93.6
1994-Q3,104.5
1994-Q4,106.9
1995-Q1,109.8
1995-Q2,111.1
1995-Q3,112.7
1995-Q4,117.9
1996-Q1,122.3
1996-Q2,129.7
1996-Q3,127.2
1996-Q4,123.7
1997-Q1,119.2
1997-Q2,118.2
1997-Q3,113
1997-Q4,108.4
1998-Q1,98.3
1998-Q2,90.1
1998-Q3,78.3
1998-Q4,71.5
1999-Q1,75.4
1999-Q2,84.3
1999-Q3,91.1
1999-Q4,95.9
2000-Q1,98.9
2000-Q2,100.4
2000-Q3,97.6
2000-Q4,94.9
2001-Q1,91.1
2001-Q2,90.3
2001-Q3,87.6
2001-Q4,83.8
2002-Q1,82.8
2002-Q2,82.2
2002-Q3,82.6
2002-Q4,82.3
2003-Q1,81.6
2003-Q2,81.1
2003-Q3,80.7
2003-Q4,80.6
2004-Q1,80.3
2004-Q2,80.4
2004-Q3,80.7
2004-Q4,81.3
2005-Q1,81.9
2005-Q2,82.3
2005-Q3,83.3
2005-Q4,84.5
2006-Q1,85.8
2006-Q2,87.3
2006-Q3,89.6
2006-Q4,93.1
2007-Q1,97.6
2007-Q2,105.6
2007-Q3,114.4
2007-Q4,122.1
2008-Q1,126.7
2008-Q2,126.9
2008-Q3,123.9
2008-Q4,116.4
2009-Q1,100
2009-Q2,95.3
2009-Q3,110.3
2009-Q4,118.4
2010-Q1,125.1
2010-Q2,131.7
2010-Q3,135.5
2010-Q4,139.2
2011-Q1,142.3
2011-Q2,145.1
2011-Q3,147
2011-Q4,147.4
2012-Q1,147.2
2012-Q2,147.9
2012-Q3,148.8
2012-Q4,151.5
2013-Q1,152.4
2013-Q2,154
2013-Q3,154.6
2013-Q4,153.2
2014-Q1,151.3
2014-Q2,149.7
2014-Q3,148.6
2014-Q4,147
2015-Q1,145.5
2015-Q2,144.2
2015-Q3,142.3
2015-Q4,141.6
