quarter,flat_type,no_of_resale_applications
2007-Q1,1-room,5
2007-Q1,2-room,67
2007-Q1,3-room,1908
2007-Q1,4-room,2365
2007-Q1,5-room,1402
2007-Q1,Executive,511
2007-Q2,1-room,3
2007-Q2,2-room,65
2007-Q2,3-room,2390
2007-Q2,4-room,3091
2007-Q2,5-room,2305
2007-Q2,Executive,854
2007-Q3,1-room,6
2007-Q3,2-room,65
2007-Q3,3-room,2179
2007-Q3,4-room,2833
2007-Q3,5-room,1901
2007-Q3,Executive,738
2007-Q4,1-room,7
2007-Q4,2-room,80
2007-Q4,3-room,1945
2007-Q4,4-room,2525
2007-Q4,5-room,1667
2007-Q4,Executive,524
2008-Q1,1-room,3
2008-Q1,2-room,59
2008-Q1,3-room,1854
2008-Q1,4-room,2415
2008-Q1,5-room,1574
2008-Q1,Executive,453
2008-Q2,1-room,6
2008-Q2,2-room,65
2008-Q2,3-room,2182
2008-Q2,4-room,2857
2008-Q2,5-room,1997
2008-Q2,Executive,656
2008-Q3,1-room,2
2008-Q3,2-room,61
2008-Q3,3-room,2296
2008-Q3,4-room,2956
2008-Q3,5-room,2172
2008-Q3,Executive,625
2008-Q4,1-room,4
2008-Q4,2-room,57
2008-Q4,3-room,1806
2008-Q4,4-room,2336
2008-Q4,5-room,1578
2008-Q4,Executive,405
2009-Q1,1-room,5
2009-Q1,2-room,64
2009-Q1,3-room,2011
2009-Q1,4-room,2488
2009-Q1,5-room,1506
2009-Q1,Executive,372
2009-Q2,1-room,1
2009-Q2,2-room,70
2009-Q2,3-room,2860
2009-Q2,4-room,3787
2009-Q2,5-room,2713
2009-Q2,Executive,753
2009-Q3,1-room,4
2009-Q3,2-room,88
2009-Q3,3-room,3015
2009-Q3,4-room,4062
2009-Q3,5-room,3422
2009-Q3,Executive,1058
2009-Q4,1-room,5
2009-Q4,2-room,120
2009-Q4,3-room,2508
2009-Q4,4-room,3326
2009-Q4,5-room,2187
2009-Q4,Executive,780
2010-Q1,1-room,3
2010-Q1,2-room,122
2010-Q1,3-room,2471
2010-Q1,4-room,3190
2010-Q1,5-room,2047
2010-Q1,Executive,651
2010-Q2,1-room,4
2010-Q2,2-room,127
2010-Q2,3-room,2679
2010-Q2,4-room,3296
2010-Q2,5-room,2240
2010-Q2,Executive,768
2010-Q3,1-room,5
2010-Q3,2-room,166
2010-Q3,3-room,2407
2010-Q3,4-room,2965
2010-Q3,5-room,1975
2010-Q3,Executive,687
2010-Q4,1-room,7
2010-Q4,2-room,134
2010-Q4,3-room,2036
2010-Q4,4-room,2290
2010-Q4,5-room,1477
2010-Q4,Executive,510
2011-Q1,1-room,3
2011-Q1,2-room,103
2011-Q1,3-room,1818
2011-Q1,4-room,2266
2011-Q1,5-room,1582
2011-Q1,Executive,456
2011-Q2,1-room,4
2011-Q2,2-room,116
2011-Q2,3-room,1966
2011-Q2,4-room,2365
2011-Q2,5-room,1635
2011-Q2,Executive,495
2011-Q3,1-room,4
2011-Q3,2-room,112
